Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ATC-SW25NZFP2F,ATC,Non Ducted,Single Split System,,0.92,0
ATC-SW35NZFP2F,ATC,Non Ducted,Single Split System,,1.3,0
ATC-SW35NZFS2F,ATC,Non Ducted,Single Split System,,1.3,0
ATC-SW51NZFP2F,ATC,Non Ducted,Single Split System,,1.96,0
ATC-SW51NZFS2F,ATC,Non Ducted,Single Split System,,1.96,0
ATC-SW68NZFP2F,ATC,Non Ducted,Single Split System,,2.5,0
ATC-SW68NZFS2F,ATC,Non Ducted,Single Split System,,2.5,0
Elegance ATC-SW30NZRPEL3,ATC,Non Ducted,Single Split System,Wall Hung,0.82,0
Elegance ATC-SW40NZRPEL3,ATC,Non Ducted,Single Split System,Wall Hung,1.18,0
Elegance ATC-SW60NZRPEL3,ATC,Non Ducted,Single Split System,Wall Hung,1.711,0
