Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AC-KFR25,AUX,Non Ducted,Single Split System,Wall Hung,0.802,0
AC-KFR35,AUX,Non Ducted,Single Split System,Wall Hung,0.96,0
AC-KFR53,AUX,Non Ducted,Single Split System,Wall Hung,1.9,0
AC-KFR70,AUX,Non Ducted,Single Split System,Wall Hung,2.05,0
AC09F,AUX,Non Ducted,Single Split System,Wall Hung,0.74,2.25
AC09F/1,AUX,Non Ducted,Single Split System,Wall Hung,0.68,2.75
AC09I,AUX,Non Ducted,Single Split System,Wall Hung,0.68,3.25
AC09I/2,AUX,Non Ducted,Single Split System,Wall Hung,0.68,3
AC12F,AUX,Non Ducted,Single Split System,Wall Hung,0.98,2.25
AC12F/1,AUX,Non Ducted,Single Split System,Wall Hung,0.9,2.5
AC12F/2,AUX,Non Ducted,Single Split System,Wall Hung,0.9,2.5
AC12I,AUX,Non Ducted,Single Split System,Wall Hung,0.93,2.5
AC18F,AUX,Non Ducted,Single Split System,Wall Hung,1.45,1.75
AC18I,AUX,Non Ducted,Single Split System,Wall Hung,1.62,1.75
AC24F,AUX,Non Ducted,Single Split System,Wall Hung,2.11,1.5
AC24FA,AUX,Non Ducted,Single Split System,Wall Hung,2.14,1.25
ASW-H09B5B4/#R1D1-C7,Aux,Non Ducted,Single Split System,Wall Hung,0.68,3.25
ASW-H12A4/E#-2,AUX,Non Ducted,Single Split System,Wall Hung,0.96,0
ASW-H12A4/EJ-2,AUX,Non Ducted,Single Split System,Wall Hung,0.96,0
ASW-H12A4/HS,AUX,Non Ducted,Single Split System,,1.28,0
ASW-H12B4/SA(SQC)R1,AUX,Non Ducted,Single Split System,Wall Hung,0.98,2
ASW-H12C5B4/#R1DI-C7,Aux,Non Ducted,Single Split System,Wall Hung,0.93,2.75
ASW-H18B4/E#Xs,AUX,Non Ducted,Single Split System,Wall Hung,1.9,0
ASW-H18E3A4/#R1DI-C2,Aux,Non Ducted,Single Split System,Wall Hung,1.62,1.75
ASW-H22B4/SQCR1-AU,AUX,Non Ducted,Single Split System,Wall Hung,2.14,1.25
ASW-H24A4/E#s,AUX,Non Ducted,Single Split System,Wall Hung,2.05,0
ASW-H24A4/SQC-1,AUX,Non Ducted,Single Split System,Wall Hung,2.1,1.25
ASW-H24B4/HS,AUX,Non Ducted,Single Split System,,2.7,0
ASW-H24B4/SQCR1-AU,AUX,Non Ducted,Single Split System,Wall Hung,2.11,1.5
ASW-H24G0B4/#R1DI-C2,Aux,Non Ducted,Single Split System,Wall Hung,2.05,2.25
KFR-60GW/M,AUX,Non Ducted,Single Split System,,2.4,0
KFR-70GW,AUX,Non Ducted,Single Split System,,2.7,0
