Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AA10,ACCENT AIR,Ducted,Single Split System,,3.31,0
AA13,ACCENT AIR,Ducted,Single Split System,,4.31,0
AA13,ACCENT AIR,Ducted,Single Split System,,4.6,0
AA14,ACCENT AIR,Ducted,Single Split System,,5.216,0
AA15 & ADA15,ACCENT AIR,Ducted,Single Split System,,5.126,0
AA16.5/ACP16.5,ACCENT AIR,Ducted,Single Split System,,5.13,0
AA17.5,ACCENT AIR,Ducted,Single Split System,,6.12,0
AA18 & ADA18,ACCENT AIR,Ducted,Single Split System,,6.3,0
AA20 & ADA20,ACCENT AIR,Ducted,Single Split System,,6.46,0
AA22 & ADA22,ACCENT AIR,Ducted,Single Split System,,7.452,0
AA25 & ADA25,ACCENT AIR,Ducted,Single Split System,,8.3,0
AA27,ACCENT AIR,Ducted,Single Split System,,9.32,0
AA31,ACCENT AIR,Ducted,Single Split System,,10.69,0
AA36,ACCENT AIR,Ducted,Single Split System,,12.18,0
AA40-2,ACCENT AIR,Ducted,Single Split System,,14.904,0
AA45-2,ACCENT AIR,Ducted,Single Split System,,16.6,0
AA50-2,ACCENT AIR,Ducted,Single Split System,,18.64,0
AA60-2,ACCENT AIR,Ducted,Single Split System,,21.38,0
AA7,ACCENT AIR,Ducted,Single Split System,,2.24,0
AB35-A,ACCENT AIR,Ducted,Single Split System,,11.134,0
AB36-2-A,ACCENT AIR,Ducted,Single Split System,,11.096,0
AB63-2-A,ACCENT AIR,Ducted,Single Split System,,21.644,0
ABAA0070SA1,ACCENT AIR,Ducted,Single Split System,,2.24,0
ABAA0100SA1,ACCENT AIR,Ducted,Single Split System,,3.31,0
ABAA0100TA1,ACCENT AIR,Ducted,Single Split System,,3.29,0
ABAA0130SB1,ACCENT AIR,Ducted,Single Split System,,4.6,0
ABAA0140TA1,ACCENT AIR,Ducted,Single Split System,,4.58,0
ABAA0150TA1,ACCENT AIR,Ducted,Single Split System,,5.3,0
ABAA0155SA1,ACCENT AIR,Ducted,Single Split System,,5.17,0
ABAA0155TA1,ACCENT AIR,Ducted,Single Split System,,5.15,0
ABAA0165TA1,ACCENT AIR,Ducted,Single Split System,,5.616,0
ABAA0165TA1,ACCENT AIR,Ducted,Single Split System,,5.62,0
ABAA0180TA1,ACCENT AIR,Ducted,Single Split System,,6.21,0
ABAA0185SA1,ACCENT AIR,Ducted,Single Split System,,6.29,0
ABAA0190TA1,ACCENT AIR,Ducted,Single Split System,,6.009,0
ABAA0200TA1,ACCENT AIR,Ducted,Single Split System,,6.41,0
ABAA0200TA1,ACCENT AIR,Ducted,Single Split System,,6.21,0
ABAA0230TA1,ACCENT AIR,Ducted,Single Split System,,7.342,0
ABAA0250TA1,ACCENT AIR,Ducted,Single Split System,,7.971,0
ABAA0270TA1,ACCENT AIR,Ducted,Single Split System,,8.87,0
ABAA0310TA2,ACCENT AIR,Ducted,Single Split System,,9.816,0
ABAA0320TA1,ACCENT AIR,Ducted,Single Split System,,10.18,0
ABAA0350TA1,ACCENT AIR,Ducted,Single Split System,,11.315,0
ABAA0360TA2,ACCENT AIR,Ducted,Single Split System,,11.258,0
ABAA0410TA2,ACCENT AIR,Ducted,Single Split System,,14.306,0
ABAA0460TA2,ACCENT AIR,Ducted,Single Split System,,14.848,0
ABAA0530TA2,ACCENT AIR,Ducted,Single Split System,,17.9,0
ABAP0310TA2,ACCENT AIR,Ducted,Packaged,,9.816,0
ABAP0320TA1,ACCENT AIR,Ducted,Packaged,,10.18,0
ABAP0350TA1,ACCENT AIR,Ducted,Packaged,,11.32,0
ABAP0350TA1,ACCENT AIR,Ducted,Packaged,,11.134,0
ABAP0360TA2,ACCENT AIR,Ducted,Packaged,,11.26,0
ABAP0360TA2,ACCENT AIR,Ducted,Packaged,,11.096,0
ABAP0410TA2,ACCENT AIR,Ducted,Packaged,,14.31,0
ABAP0460TA1,ACCENT AIR,Ducted,Packaged,,14.85,0
ABAP0530TA2,ACCENT AIR,Ducted,Packaged,,17.9,0
ABAV0460TA2,ACCENT AIR,Ducted,Packaged,,15.784,0
ABAV0500TA2,ACCENT AIR,Ducted,Packaged,,16.886,0
ACP14,ACCENT AIR,Ducted,Packaged,,5.216,0
ACP15,ACCENT AIR,Ducted,Packaged,,5.126,0
ACP16.5,ACCENT AIR,Ducted,Packaged,,5.13,0
ACP18,ACCENT AIR,Ducted,Packaged,,6.3,0
ACP20,ACCENT AIR,Ducted,Packaged,,6.46,0
ACP22,ACCENT AIR,Ducted,Packaged,,7.452,0
ACP25,ACCENT AIR,Ducted,Packaged,,8.3,0
ACP27,ACCENT AIR,Ducted,Packaged,,9.32,0
ACP31,ACCENT AIR,Ducted,Packaged,,10.69,0
