Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ACC40CR,ACSON,Ducted,Single Split System,,4.19,0
ACC50CR,ACSON,Ducted,Single Split System,,2.47,0
ACC60CR,ACSON,Ducted,Single Split System,,5.8,0
ACK15BR,ACSON,Non Ducted,Single Split System,,1.3,0
ACK40A,ACSON,Ducted,Packaged,,4.1,0
ACK50A,ACSON,Ducted,Packaged,,5.1,0
ADB100BR,ACSON,Ducted,Single Split System,,9.8,0
ADB125BR,ACSON,Ducted,Single Split System,,11.5,0
ADB75BR,ACSON,Ducted,Single Split System,,8,0
ART100AR,ACSON,Ducted,Packaged,,11.86,0
ART150AR,ACSON,Ducted,Packaged,,18.6,0
ART200AR,ACSON,Ducted,Packaged,,23.5,0
ART80AR,ACSON,Ducted,Packaged,,9,0
AWM20G/ALC20C,ACSON,Non Ducted,Single Split System,,1.7,0
AWM20GR/ALC20CR,ACSON,Non Ducted,Single Split System,,1.7,0
AWM25G/ALC25C,ACSON,Non Ducted,Single Split System,,2.4,0
AWM25GR/ALC25CR,ACSON,Non Ducted,Single Split System,,2.4,0
McQuay,ACSON,Non Ducted,Single Split System,,0.9,0
RCM40DR,ACSON,Ducted,Packaged,,4.04,0
RCM50DR,ACSON,Ducted,Packaged,,5.01,0
RCM50DR,ACSON,Non Ducted,Single Split System,,5.2,0
WM10F/LC10B,ACSON,Non Ducted,Single Split System,,0.9,0
WM15F/LC15B,ACSON,Non Ducted,Single Split System,,1.3,0
WM15FR/LC15BR,ACSON,Non Ducted,Single Split System,,1.3,0
WM20F/LC20B,ACSON,Non Ducted,Single Split System,,2.1,0
WM20FR/LC20BR,ACSON,Non Ducted,Single Split System,,2.1,0
WM25F/LC25B,ACSON,Non Ducted,Single Split System,,2.6,0
WM25FR/LC25BR,ACSON,Non Ducted,Single Split System,,2.72,0
