Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CAY470T / EVY470T,ACTRON AIR,Ducted,Single Split System,,15.4,1.75
CAY470T / EVY470T,ACTRON AIR,Ducted,Single Split System,,15.4,1.75
CAY540T / EVY540T,ACTRON AIR,Ducted,Single Split System,,17.57,0
CAY620T / ELY620T,ACTRON AIR,Ducted,Single Split System,,20.348,0
CAY620T / ELY620T,ACTRON AIR,Ducted,Single Split System,,20.348,0
CAY620T / ELY620T,ACTRON AIR,Ducted,Single Split System,,20.348,0
CAY620T / EVY620T,ACTRON AIR,Ducted,Single Split System,,20.633,0
CAY620T / EVY620T,ACTRON AIR,Ducted,Single Split System,,20.5,0
CRV2-14AS / ERM2-14AS,ACTRON AIR,Ducted,Single Split System,,3.79,0
CRV2-14AS / ERV2-14AS,ACTRON AIR,Ducted,Single Split System,,3.79,0
CRV3-17AS / ERM3-17AS,ACTRON AIR,Ducted,Single Split System,,4.17,0
CRV3-17AS / ERV3-17AS,ACTRON AIR,Ducted,Single Split System,,4.17,0
CRV4-19AS / ARV4-19AS & FRV4-19AS,ACTRON AIR,Ducted,Single Split System,,5.1,0
CRV4-19AS / ERM4-19AS,ACTRON AIR,Ducted,Single Split System,,5.1,0
CRV4-19AS / ERV4-19AS,ACTRON AIR,Ducted,Single Split System,,5.1,0
PCA140U,ACTRON AIR,Ducted,Packaged,,4.832,0
PCA15U,ACTRON AIR,Ducted,Packaged,,5.210409,0
PCA15U,ACTRON AIR,Ducted,Packaged,,5.210409,0
PCA160U,ACTRON AIR,Ducted,Packaged,,5.615,0
PCA18U,ACTRON AIR,Ducted,Packaged,,6.279699,0
PCA18U,ACTRON AIR,Ducted,Packaged,,6.279699,0
PCA190U,ACTRON AIR,Ducted,Packaged,,6.239,0
PCA230U,ACTRON AIR,Ducted,Packaged,,7.21,0
PCA230U,ACTRON AIR,Ducted,Packaged,,7.139,0
PCA24U,ACTRON AIR,Ducted,Packaged,,8.238806,0
PCA24U,ACTRON AIR,Ducted,Packaged,,8.238806,0
PCA260U,ACTRON AIR,Ducted,Single Split System,,7.925,0
PCA260U,ACTRON AIR,Ducted,Packaged,,7.658,0
PCA27U/S,ACTRON AIR,Ducted,Packaged,,9.347368,0
PCA27U/S,ACTRON AIR,Ducted,Packaged,,9.347368,0
PCA290S,ACTRON AIR,Ducted,Packaged,,8.888,0
PCA290S,ACTRON AIR,Ducted,Packaged,,8.888,0
PCA290U,ACTRON AIR,Ducted,Packaged,,8.888,0
PCA290U,ACTRON AIR,Ducted,Packaged,,8.888,0
PCA300S,ACTRON AIR,Ducted,Packaged,,9.125,0
PCA300S,ACTRON AIR,Ducted,Packaged,,9.35,0
PCA300U,ACTRON AIR,Ducted,Packaged,,9.125,0
PCA300U,ACTRON AIR,Ducted,Packaged,,9.35,0
PCA300U,ACTRON AIR,Ducted,Packaged,,8.5,0
PCA31U/S,ACTRON AIR,Ducted,Packaged,,10.71045,0
PCA31U/S,ACTRON AIR,Ducted,Packaged,,10.71045,0
PCA330S,ACTRON AIR,Ducted,Packaged,,10.476,0
PCA330S,ACTRON AIR,Ducted,Packaged,,10.315,0
PCA330U,ACTRON AIR,Ducted,Packaged,,10.476,0
PCA330U,ACTRON AIR,Ducted,Packaged,,10.315,0
PCA330U,ACTRON AIR,Ducted,Packaged,,10.476,0
PCA340S,ACTRON AIR,Ducted,Packaged,,10.54811,0
PCA340U,ACTRON AIR,Ducted,Packaged,,10.54811,0
PCA35U/S,ACTRON AIR,Ducted,Packaged,,12.27658,0
PCA35U/S,ACTRON AIR,Ducted,Packaged,,12.27658,0
PCA36U/S,ACTRON AIR,Ducted,Packaged,,12.5594,0
PCA36U/S,ACTRON AIR,Ducted,Packaged,,12.5594,0
PCA400S,ACTRON AIR,Ducted,Packaged,,12.763,0
PCA400U,ACTRON AIR,Ducted,Packaged,,12.763,0
PCA40U/S,ACTRON AIR,Ducted,Packaged,,14.00889,0
PCA40U/S,ACTRON AIR,Ducted,Packaged,,14.00889,0
PCA47S,ACTRON AIR,Ducted,Packaged,,16.03,0
PCA47U/S,ACTRON AIR,Ducted,Packaged,,16.47761,0
PCA47U/S,ACTRON AIR,Ducted,Packaged,,16.47761,0
PCA54S,ACTRON AIR,Ducted,Packaged,,17.964,0
PCA54U/S,ACTRON AIR,Ducted,Packaged,,18.667,0
PCA54U/S,ACTRON AIR,Ducted,Packaged,,18.667,0
PCA62S,ACTRON AIR,Ducted,Packaged,,20.75,0
PCA62U/S,ACTRON AIR,Ducted,Packaged,,21.42089,0
PCA62U/S,ACTRON AIR,Ducted,Packaged,,21.42089,0
PCG153U,ACTRON AIR,Ducted,Packaged,,4.43,0
PCG173U,ACTRON AIR,Ducted,Packaged,,5.04,0
PCG203U,ACTRON AIR,Ducted,Packaged,,5.857,0
PCG233U,ACTRON AIR,Ducted,Single Split System,,6.59,0
PCG233U,ACTRON AIR,Ducted,Single Split System,,6.59,0
PCG290L,ACTRON AIR,Ducted,Packaged,,8.45,0
PCG290R,ACTRON AIR,Ducted,Packaged,,8.45,0
PCG290U,ACTRON AIR,Ducted,Packaged,,8.45,0
PCG300L,ACTRON AIR,Ducted,Packaged,,8.55,0
PCG300R,ACTRON AIR,Ducted,Packaged,,8.55,0
PCG330L/R,ACTRON AIR,Ducted,Packaged,,9.94,0
PCG340L,ACTRON AIR,Ducted,Packaged,,9.956,0
PCG340R,ACTRON AIR,Ducted,Packaged,,9.956,0
PCG340U-G,ACTRON AIR,Ducted,Packaged,,10.3,0
PCG340U-M615,ACTRON AIR,Ducted,Packaged,,10.3,0
PCG340V-G,ACTRON AIR,Ducted,Packaged,,10.3,0
PCG340V-M615,ACTRON AIR,Ducted,Packaged,,10.3,0
PCG400L,ACTRON AIR,Ducted,Packaged,,12.761,0
PCG400R,ACTRON AIR,Ducted,Packaged,,12.761,0
PCG400U,ACTRON AIR,Ducted,Packaged,,12.761,0
PKY470T,ACTRON AIR,Ducted,Packaged,,15.4,1.75
PKY540T,ACTRON AIR,Ducted,Packaged,,17.57,0
PKY620T,ACTRON AIR,Ducted,Packaged,,20.633,0
PKY620T,ACTRON AIR,Ducted,Packaged,,20.5,0
PMD120HRA,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120HRA,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HRB,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120HRB,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HRC,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120HRC,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HRD,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120HRD,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HRE,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120HRE,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HRF,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120HRF,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HXA,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HXB,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HXC,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HXD,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HXE,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120HXF,ACTRON AIR,Ducted,Packaged,,3.4,0
PMD120RA,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120RB,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120RC,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120RD,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120RE,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD120RF,ACTRON AIR,Ducted,Packaged,,3.6066,0
PMD160HRA,ACTRON AIR,Ducted,Packaged,,5.08,0
PMD160HRA,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HRB,ACTRON AIR,Ducted,Packaged,,5.08,0
PMD160HRB,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HRC,ACTRON AIR,Ducted,Packaged,,5.08,0
PMD160HRC,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HRD,ACTRON AIR,Ducted,Packaged,,5.08,0
PMD160HRD,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HRE,ACTRON AIR,Ducted,Packaged,,5.08,0
PMD160HRE,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HRF,ACTRON AIR,Ducted,Packaged,,5.08,0
PMD160HRF,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HXA,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HXB,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HXC,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HXD,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HXE,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160HXF,ACTRON AIR,Ducted,Packaged,,4.77,0
PMD160RA,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160RB,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160RC,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160RD,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160RE,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160RF,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160XA,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160XB,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160XC,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160XD,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160XE,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD160XF,ACTRON AIR,Ducted,Packaged,,5.02,0
PMD190HRA,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HRA,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HRB,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HRB,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HRC,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HRC,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HRD,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HRD,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HRE,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HRE,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HRF,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HRF,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HXA,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HXA,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HXB,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HXB,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HXC,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HXC,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HXD,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HXD,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HXE,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HXE,ACTRON AIR,Ducted,Packaged,,5.74,0
PMD190HXF,ACTRON AIR,Ducted,Packaged,,6.126,0
PMD190HXF,ACTRON AIR,Ducted,Packaged,,5.74,0
SCA27,ACTRON AIR,Ducted,Single Split System,,9.347368,0
SCA27,ACTRON AIR,Ducted,Single Split System,,9.347368,0
SCA290C / SCA290E,ACTRON AIR,Ducted,Single Split System,,8.888,0
SCA290C / SCA290E,ACTRON AIR,Ducted,Single Split System,,8.888,0
SCA290C / SCG290E,ACTRON AIR,Ducted,Single Split System,,8.45,0
SCA300C / SCA300E,ACTRON AIR,Ducted,Single Split System,,9.35,0
SCA300C / SCA300E,ACTRON AIR,Ducted,Single Split System,,9.125,0
SCA300C / SCA300E,ACTRON AIR,Ducted,Single Split System,,8.5,0
SCA300C-M463 / SCA300E,ACTRON AIR,Ducted,Single Split System,,8.5,0
SCA31,ACTRON AIR,Ducted,Single Split System,,10.71045,0
SCA31,ACTRON AIR,Ducted,Single Split System,,10.71045,0
SCA330C / SCA330E,ACTRON AIR,Ducted,Single Split System,,10.476,0
SCA330C / SCA330E,ACTRON AIR,Ducted,Single Split System,,10.315,0
SCA330C / SCA330E,ACTRON AIR,Ducted,Single Split System,,10.476,0
SCA340C / SCA340E,ACTRON AIR,Ducted,Single Split System,,10.548,0
SCA340C-M495 / SCA340E-M496,ACTRON AIR,Ducted,Single Split System,,10.73,0
SCA35,ACTRON AIR,Ducted,Single Split System,,12.27658,0
SCA35,ACTRON AIR,Ducted,Single Split System,,12.27658,0
SCA36,ACTRON AIR,Ducted,Single Split System,,12.5594,0
SCA36,ACTRON AIR,Ducted,Single Split System,,12.5594,0
SCA40,ACTRON AIR,Ducted,Single Split System,,14.00889,0
SCA40,ACTRON AIR,Ducted,Single Split System,,14.00889,0
SCA400C / SCA400E,ACTRON AIR,Ducted,Single Split System,,12.763,0
SCA400C / SCG400E,ACTRON AIR,Ducted,Single Split System,,12.761,0
SCA47,ACTRON AIR,Ducted,Single Split System,,16.47761,0
SCA47,ACTRON AIR,Ducted,Single Split System,,16.47761,0
SCA47C / SCA47E,ACTRON AIR,Ducted,Single Split System,,16.03,0
SCA54,ACTRON AIR,Ducted,Single Split System,,18.667,0
SCA54,ACTRON AIR,Ducted,Single Split System,,18.667,0
SCA54C / SCA54E,ACTRON AIR,Ducted,Single Split System,,17.964,0
SCA62,ACTRON AIR,Ducted,Single Split System,,21.42089,0
SCA62,ACTRON AIR,Ducted,Single Split System,,21.42089,0
SCA62C / SCA62E,ACTRON AIR,Ducted,Single Split System,,20.75,0
SRA101C / SRA101E,ACTRON AIR,Ducted,Single Split System,,3.333,0
SRA101C / SRG091E,ACTRON AIR,Ducted,Single Split System,,3.08,1.75
SRA101C / SRG101E,ACTRON AIR,Ducted,Single Split System,,3.08,0
SRA12,ACTRON AIR,Ducted,Single Split System,,4.119403,0
SRA12,ACTRON AIR,Ducted,Single Split System,,4.119403,0
SRA120C / SRA120A & SRA120F,ACTRON AIR,Ducted,Single Split System,,3.674,0
SRA120C / SRA120E,ACTRON AIR,Ducted,Single Split System,,3.674,0
SRA121C / SRA120A & SRA120F,ACTRON AIR,Ducted,Single Split System,,3.901,0
SRA121C / SRA120E,ACTRON AIR,Ducted,Single Split System,,3.901,0
SRA131C / SRA131A,ACTRON AIR,Ducted,Single Split System,,3.353,0
SRA131C / SRA131A & SRG131F,ACTRON AIR,Ducted,Single Split System,,3.748,0
SRA131C / SRG131E,ACTRON AIR,Ducted,Single Split System,,3.748,0
SRA133C / SRA131A,ACTRON AIR,Ducted,Single Split System,,3.172,0
SRA133C / SRA131A & SRG131F,ACTRON AIR,Ducted,Single Split System,,3.683,0
SRA133C / SRG131E,ACTRON AIR,Ducted,Single Split System,,3.683,0
SRA14,ACTRON AIR,Ducted,Single Split System,,4.819348,0
SRA14,ACTRON AIR,Ducted,Single Split System,,4.819348,0
SRA140C / SRA140A & SRA140F,ACTRON AIR,Ducted,Single Split System,,4.832,0
SRA140C / SRA140E,ACTRON AIR,Ducted,Single Split System,,4.832,0
SRA141C / SRA140A & SRA140F,ACTRON AIR,Ducted,Single Split System,,4.832,0
SRA141C / SRA140E,ACTRON AIR,Ducted,Single Split System,,4.832,0
SRA141C / SRA16A & SRA16F,ACTRON AIR,Ducted,Single Split System,,4.832,0
SRA141C / SRA16E,ACTRON AIR,Ducted,Single Split System,,4.832,0
SRA151C / SRA151A,ACTRON AIR,Ducted,Single Split System,,4.144,0
SRA151C / SRA151A & SRG151F,ACTRON AIR,Ducted,Single Split System,,4.56,0
SRA151C / SRG151E,ACTRON AIR,Ducted,Single Split System,,4.56,0
SRA153C / SRA151A,ACTRON AIR,Ducted,Single Split System,,4.015,0
SRA153C / SRA151A & SRG151F,ACTRON AIR,Ducted,Single Split System,,4.43,0
SRA153C / SRG151E,ACTRON AIR,Ducted,Single Split System,,4.43,0
SRA15C/SRA16A & SRA16F,ACTRON AIR,Ducted,Single Split System,,5.25,0
SRA15C/SRA16E,ACTRON AIR,Ducted,Single Split System,,5.25,0
SRA16,ACTRON AIR,Ducted,Single Split System,,5.032675,0
SRA16,ACTRON AIR,Ducted,Single Split System,,5.032675,0
SRA160C / SRA160A & SRA160F,ACTRON AIR,Ducted,Single Split System,,5.6154,0
SRA160C / SRA160E,ACTRON AIR,Ducted,Single Split System,,5.6154,0
SRA161C / SRA17A & SRA17F,ACTRON AIR,Ducted,Single Split System,,5.652,0
SRA161C / SRA17E,ACTRON AIR,Ducted,Single Split System,,5.652,0
SRA17,ACTRON AIR,Ducted,Single Split System,,5.51,0
SRA171C / SRA171A,ACTRON AIR,Ducted,Single Split System,,4.701,0
SRA171C / SRG171E,ACTRON AIR,Ducted,Single Split System,,5.151,0
SRA173C / SRA171A,ACTRON AIR,Ducted,Single Split System,,4.518,0
SRA173C / SRA171A & SRG171F,ACTRON AIR,Ducted,Single Split System,,5.04,0
SRA173C / SRG171E,ACTRON AIR,Ducted,Single Split System,,5.04,0
SRA17C / SRA17A & SRA17F,ACTRON AIR,Ducted,Single Split System,,5.7,0
SRA17C / SRA17E,ACTRON AIR,Ducted,Single Split System,,5.7,0
SRA18,ACTRON AIR,Ducted,Single Split System,,6.008996,0
SRA18,ACTRON AIR,Ducted,Single Split System,,6.008996,0
SRA190C / SRA190A & SRA190F,ACTRON AIR,Ducted,Single Split System,,6.239,0
SRA190C / SRA190E,ACTRON AIR,Ducted,Single Split System,,6.239,0
SRA20,ACTRON AIR,Ducted,Single Split System,,6.182087,0
SRA20,ACTRON AIR,Ducted,Single Split System,,6.182087,0
SRA203C / SRA201A,ACTRON AIR,Ducted,Single Split System,,5.421,0
SRA203C / SRA201A & SRG201F,ACTRON AIR,Ducted,Single Split System,,5.857,0
SRA203C / SRG201E,ACTRON AIR,Ducted,Single Split System,,5.857,0
SRA22,ACTRON AIR,Ducted,Single Split System,,6.894641,0
SRA22,ACTRON AIR,Ducted,Single Split System,,6.894641,0
SRA230C / SRA230A,ACTRON AIR,Ducted,Single Split System,,6.136,0
