Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KFR-23GW,ADVANCE,Non Ducted,Single Split System,Wall Hung,0.75,0
KFR-25GW/N,ADVANCE,Non Ducted,Single Split System,Wall Hung,0.8,0
KFR-26GW/AZBP,ADVANCE,Non Ducted,Single Split System,Wall Hung,0.78,0
KFR-34GW,ADVANCE,Non Ducted,Single Split System,Wall Hung,1.22,0
KFR-34GW/AZBP,ADVANCE,Non Ducted,Single Split System,Wall Hung,1,0
KFR-35GW/N,ADVANCE,Non Ducted,Single Split System,Wall Hung,1.22,0
KFR-45GW,ADVANCE,Non Ducted,Single Split System,Wall Hung,1.37,0
KFR-50GW/ABP,ADVANCE,Non Ducted,Single Split System,Wall Hung,2.05,0
KFR-50GW/AZBP,ADVANCE,Non Ducted,Single Split System,Wall Hung,2.05,0
KFR-70GW,ADVANCE,Non Ducted,Single Split System,Wall Hung,2.55,0
