Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AACV-147-FCU/CON1,ADVANTAGE AIR,Ducted,Single Split System,,5.22,0
AACV-164-FCU/CON3,ADVANTAGE AIR,Ducted,Single Split System,,6.41,0
AAD10.4,ADVANTAGE AIR,Ducted,Single Split System,,3.25,2
AAD13.5,ADVANTAGE AIR,Ducted,Single Split System,,4.22,2
AAD16.8,ADVANTAGE AIR,Ducted,Single Split System,,5.3,2
AAD5.3,ADVANTAGE AIR,Ducted,Single Split System,,1.53,2.25
AAD7.3,ADVANTAGE AIR,Ducted,Single Split System,,2.22,2.5
AAD9.0,ADVANTAGE AIR,Ducted,Single Split System,,2.7,2
AAHW-25-I/O,ADVANTAGE AIR,Non Ducted,Single Split System,Wall Hung,0.81,0
AAHW-50-I/O,ADVANTAGE AIR,Non Ducted,Single Split System,Wall Hung,1.8,0
AAHW-70-I/O,ADVANTAGE AIR,Non Ducted,Single Split System,Wall Hung,2.5,0
