Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AHA-30HRDN1,AGEAN,Ducted,Single Split System,,2.9,1.5
AHA-36HRDN1,AGEAN,Ducted,Single Split System,,3.3,1.5
AHA-36HRN2,AGEAN,Ducted,Single Split System,,4.5,0
AHA-48HRDN1,AGEAN,Ducted,Single Split System,,4.6,1.5
AHA-48HRN2,AGEAN,Ducted,Single Split System,,5.7,0
AHA-60HRN2,AGEAN,Ducted,Single Split System,,6.5,0
AHD-42HRDNI-Q,AGEAN,Ducted,Single Split System,,3.8,1.75
AHD-60HRDNI-Q,AGEAN,Ducted,Single Split System,,5.14,1.25
ASB-09HR,AGEAN,Non Ducted,Single Split System,,0.96,0
ASB-12HR,AGEAN,Non Ducted,Single Split System,,1.2,0
ASB-18HR,AGEAN,Non Ducted,Single Split System,,1.9,0
ASB-21HR,AGEAN,Non Ducted,Single Split System,,2.4,0
ASB-24HR,AGEAN,Non Ducted,Single Split System,,2.6,0
ASC-12HRDNI,AGEAN,Non Ducted,Single Split System,Wall Hung,0.88,3
ASC-21HRDNI,AGEAN,Non Ducted,Single Split System,Wall Hung,1.85,2
ASC-24HRDNI,AGEAN,Non Ducted,Single Split System,Wall Hung,2.08,2
ASG-09HR,AGEAN,Non Ducted,Single Split System,Wall Hung,0.77,0
ASG-09HRI,AGEAN,Non Ducted,Single Split System,,1.1,0
ASG-12HR,AGEAN,Non Ducted,Single Split System,Wall Hung,1.05,0
ASG-12HRDN1,AGEAN,Non Ducted,Single Split System,Wall Hung,1.1,0
ASG-12HRI,AGEAN,Non Ducted,Single Split System,,1.3,0
ASG-18HR,AGEAN,Non Ducted,Single Split System,Wall Hung,1.7,0
ASG-21HR,AGEAN,Non Ducted,Single Split System,Wall Hung,2.1,0
ASG-21HRI,AGEAN,Non Ducted,Single Split System,,2.45,0
ASG-21HRIN1,AGEAN,Non Ducted,Single Split System,Wall Hung,2,0
ASG-24HR,AGEAN,Non Ducted,Single Split System,Wall Hung,2.3,0
ASG-30HR,AGEAN,Non Ducted,Single Split System,Wall Hung,2.45,0
ASG-36HR,AGEAN,Non Ducted,Single Split System,,3.43,0
AWH-12HR,AGEAN,Non Ducted,Window Wall,,1.31,0
FR125/S,AGEAN,Ducted,Single Split System,,4.9,0
FR95,AGEAN,Ducted,Single Split System,,3.95,0
KF27GW/T,AGEAN,Non Ducted,Single Split System,,1.045,0
KF50GW/B,AGEAN,Non Ducted,Single Split System,,1.88,0
KF60GW/A,AGEAN,Non Ducted,Single Split System,,2.38,0
KF70GW,AGEAN,Non Ducted,Single Split System,,2.7,0
KFR27GW/T,AGEAN,Non Ducted,Single Split System,,1.045,0
KFR35GW/T,AGEAN,Non Ducted,Single Split System,,1.3,0
KFR50GW/B,AGEAN,Non Ducted,Single Split System,,1.88,0
KFR60GW/A,AGEAN,Non Ducted,Single Split System,,2.38,0
KFR70GW,AGEAN,Non Ducted,Single Split System,,2.7,0
KFR80GW,AGEAN,Non Ducted,Single Split System,,3.4,0
MSB-09CR,AGEAN,Non Ducted,Single Split System,,0.95,0
MSB-12CR,AGEAN,Non Ducted,Single Split System,,1.2,0
MSB-18CR,AGEAN,Non Ducted,Single Split System,,1.95,0
MSB-21CR,AGEAN,Non Ducted,Single Split System,,2.45,0
MSB-24CR,AGEAN,Non Ducted,Single Split System,,2.7,0
MSH-09HRDN1,AGEAN,Non Ducted,Single Split System,Wall Hung,0.8,0
