Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AWM-25VA,AGER,Non Ducted,Single Split System,Wall Hung,0.73,2.25
AWM-35VA,AGER,Non Ducted,Single Split System,Wall Hung,1.02,2.25
AWM-50VA,AGER,Non Ducted,Single Split System,Wall Hung,1.64,1.75
AWM-63VA,AGER,Non Ducted,Single Split System,Wall Hung,2,1.5
AWM-72VA,AGER,Non Ducted,Single Split System,Wall Hung,2.4,1.5
AWM-80VA,AGER,Non Ducted,Single Split System,Wall Hung,2.66,1.25
RCD-10M,AGER,Ducted,Single Split System,,4.05,0
RCL-12H,AGER,Non Ducted,Single Split System,,1.32,0
RCL-18H,AGER,Non Ducted,Single Split System,,2.05,0
RCL-22H,AGER,Non Ducted,Single Split System,,2.32,0
RCM-090H,AGER,Non Ducted,Single Split System,Wall Hung,0.79,0
RCM-120H,AGER,Non Ducted,Single Split System,Wall Hung,1.06,0
RCM-180H,AGER,Non Ducted,Single Split System,Wall Hung,1.7,0
RCM-220H,AGER,Non Ducted,Single Split System,Wall Hung,2.1,0
RCM-260H,AGER,Non Ducted,Single Split System,Wall Hung,2.4,0
RCS-090H,AGER,Non Ducted,Single Split System,,0.93,0
RCS-120H,AGER,Non Ducted,Single Split System,,1.32,0
RCS-220H,AGER,Non Ducted,Single Split System,,2.7,0
RCS-300H,AGER,Non Ducted,Single Split System,,3.28,0
RCS-90L,AGER,Non Ducted,Single Split System,,0.95,0
WIN-90H,AGER,Non Ducted,Window Wall,,0.96,0
