Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AGSG-36HR,AGREE,Non Ducted,Single Split System,Wall Hung,3.69,0
AGSG1-09HR,AGREE,Non Ducted,Single Split System,Wall Hung,0.77,0
AGSG1-09HRN1,AGREE,Non Ducted,Single Split System,Wall Hung,0.76,2.75
AGSG1-12HR,AGREE,Non Ducted,Single Split System,Wall Hung,1.05,0
AGSG1-12HRN1,AGREE,Non Ducted,Single Split System,Wall Hung,0.92,2.5
AGSG1-18HR,AGREE,Non Ducted,Single Split System,Wall Hung,1.7,0
AGSG1-18HRN1,AGREE,Non Ducted,Single Split System,Wall Hung,1.6,2
AGSG1-21HR,AGREE,Non Ducted,Single Split System,Wall Hung,2.1,0
AGSG1-24HR,AGREE,Non Ducted,Single Split System,Wall Hung,2.3,0
AGSG1-24HRN1,AGREE,Non Ducted,Single Split System,Wall Hung,2.2,2
AGSG1-28HRN1,AGREE,Non Ducted,Single Split System,Wall Hung,2.46,2
AGSG1-30HR,AGREE,Non Ducted,Single Split System,Wall Hung,2.45,0
KFR-26GW/Y,AGREE,Non Ducted,Single Split System,,0.93,0
KFR-32GW/Y,AGREE,Non Ducted,Single Split System,,1.28,0
KFR-53GW/Y,AGREE,Non Ducted,Single Split System,,2.05,0
KFR-70GW/Y,AGREE,Non Ducted,Single Split System,,2.9,0
KFR62/WALL,AGREE,Non Ducted,Single Split System,,2.5,0
KFR93/WALL,AGREE,Non Ducted,Single Split System,,3.69,0
