Model No,Brand,Control,Prog Name,Type,New CEC,New Star
1AE107N6E/1AC107N6B,AIRTEMP,Non Ducted,Single Split System,,0.68,0
1AE109N6E/1AC109N6B,AIRTEMP,Non Ducted,Single Split System,,0.92,0
1AE112N6E/1AC112N6B,AIRTEMP,Non Ducted,Single Split System,,1.25,0
1AE418N6E/1AC418N6G,AIRTEMP,Non Ducted,Single Split System,,2,0
1AE424N6E/1AC424N6G,AIRTEMP,Non Ducted,Single Split System,,2.76,0
1AY107N6G,AIRTEMP,Non Ducted,Window Wall,,0.82,0
1AY109N6G,AIRTEMP,Non Ducted,Window Wall,,1.07,0
1AY212N6G,AIRTEMP,Non Ducted,Window Wall,,1.38,0
1AY318N6G,AIRTEMP,Non Ducted,Window Wall,,2.09,0
1AY324N6G,AIRTEMP,Non Ducted,Window Wall,,2.75,0
HAE107N6E/HAC107N6B,AIRTEMP,Non Ducted,Single Split System,,0.67,0
HAE109N6E/HAC109N6B,AIRTEMP,Non Ducted,Single Split System,,0.93,0
HAE112N6E/HAC112N6B,AIRTEMP,Non Ducted,Single Split System,,1.26,0
HAE418N6E/HAC418N6G,AIRTEMP,Non Ducted,Single Split System,,2.08,0
HAE424N6E/HAC424N6G,AIRTEMP,Non Ducted,Single Split System,,2.76,0
HAY107N6G,AIRTEMP,Non Ducted,Window Wall,,0.82,0
HAY109N6G,AIRTEMP,Non Ducted,Window Wall,,1.07,0
HAY212N6G,AIRTEMP,Non Ducted,Window Wall,,1.41,0
HAY318N6G,AIRTEMP,Non Ducted,Window Wall,,2.08,0
HAY324N6G,AIRTEMP,Non Ducted,Window Wall,,2.75,0
