Model No,Brand,Control,Prog Name,Type,New CEC,New Star
May-70,AIRWELL,Non Ducted,Window Wall,,0.77,0
DNC1155RC / GC34RCC,AIRWELL,Ducted,Single Split System,,3.8,0
DNC1255RC / GC44RCFX,AIRWELL,Ducted,Single Split System,,4.4,0
DNC955RC / GC30RCC,AIRWELL,Ducted,Single Split System,,3.3,0
DNCD1255RCA / GCD50RCX,AIRWELL,Ducted,Single Split System,,4.7,0
DNG18RC / GCL18RCA,AIRWELL,Ducted,Single Split System,,1.83,0
DNG24RC / GCL24RC,AIRWELL,Ducted,Single Split System,,2.42,0
DNG30RC / GCN30RC,AIRWELL,Ducted,Single Split System,,3.05,0
DNG37RC / GCN38RC,AIRWELL,Ducted,Single Split System,,3.83,0
DNG44RC / GCN44RCX,AIRWELL,Ducted,Single Split System,,4.71,0
DNGV24RCA / GCLDCI24RC,AIRWELL,Ducted,Single Split System,,1.86,0
DNGV30RCA / GCLDCI30RC,AIRWELL,Ducted,Single Split System,,2.48,0
DS18RCF,AIRWELL,Ducted,Single Split System,,1.98,0
DS18RCG / GC18RCC,AIRWELL,Ducted,Packaged,,1.98,0
DS24RCF,AIRWELL,Ducted,Single Split System,,2.65,0
DS24RCG / GC24RCC-S,AIRWELL,Ducted,Packaged,,2.65,0
DS24RCG / GC24RCC-S,AIRWELL,Ducted,Single Split System,,2.65,0
DS26RCG / GC24RCC-S,AIRWELL,Ducted,Single Split System,,2.8,0
DS26RCG / GC24RCC-S,AIRWELL,Ducted,Single Split System,,2.8,0
DS28RCF,AIRWELL,Ducted,Single Split System,,3.37,0
DS28RCF,AIRWELL,Ducted,Single Split System,,3.37,0
DS28RCFA,AIRWELL,Ducted,Single Split System,,3.37,0
DS30RCF,AIRWELL,Ducted,Single Split System,,3.82,0
DS30RCF,AIRWELL,Ducted,Single Split System,,3.82,0
DS30RCFA,AIRWELL,Ducted,Single Split System,,3.82,0
DS30RCFA/GC30RCFA,AIRWELL,Ducted,Single Split System,,3.82,0
DS30RCG / GC30RCB,AIRWELL,Ducted,Single Split System,,3.5,0
DS30RCG / GC30RCC,AIRWELL,Ducted,Single Split System,,3.5,0
DS35RCF / GC34RCC,AIRWELL,Ducted,Single Split System,,4,0
DS48RCF,AIRWELL,Ducted,Single Split System,,5.88,0
DS48RCF / GC48RCF,AIRWELL,Ducted,Single Split System,,5.88,0
DS48RCF / GC48RCFX,AIRWELL,Ducted,Single Split System,,5.13,0
DS55RCF/GC55RCFX,AIRWELL,Ducted,Single Split System,,6.25,0
