Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AC-GS09HRC,AKAI,Non Ducted,Single Split System,,0.92,0
AC-GS12HRC,AKAI,Non Ducted,Single Split System,,1.3,0
AC-GS24HRC,AKAI,Non Ducted,Single Split System,,2.5,0
AC-GS30HRC,AKAI,Non Ducted,Single Split System,,3,0
AC-KS24HRC,AKAI,Non Ducted,Single Split System,,2.75,0
AC-MW09CRC1,AKAI,Non Ducted,Window Wall,,0.94,0
AC-MW12CRC1,AKAI,Non Ducted,Window Wall,,1.31,0
AK-12000-RC,AKAI,Non Ducted,Single Split System,Wall Hung,0.91,3
AK-18000-RC,AKAI,Non Ducted,Single Split System,Wall Hung,1.5,2
AK-9000-F,AKAI,Non Ducted,Single Split System,Wall Hung,0.68,2.5
AK-9000-RC,AKAI,Non Ducted,Single Split System,Wall Hung,0.68,2.75
AUS-12H53R130D2(b2),AKAI,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R150P9(De3),AKAI,Non Ducted,Single Split System,Wall Hung,0.92,2.5
MWF-09CRN1-QC1G,AKAI,Non Ducted,Window Wall,,0.87,1
MWF-12CRN1-QC1G,AKAI,Non Ducted,Window Wall,,1.09,0.75
MWF-12CRN1-QC5G,AKAI,Non Ducted,Window Wall,,1.09,1
MWF-18CRN1-QC1G,AKAI,Non Ducted,Window Wall,,1.59,1
MWF1-09CRN1-QC5G,AKAI,Non Ducted,Window Wall,,0.79,1
TEM-26CHSAAK,AKAI,Non Ducted,Single Split System,Wall Hung,0.72,2.75
TEM-26CHSAAK5,AKAI,Non Ducted,Single Split System,Wall Hung,0.52,4
TEM-26CHSAAU,AKAI,Non Ducted,Single Split System,Wall Hung,0.74,2
TEM-26CHSAAU,AKAI,Non Ducted,Single Split System,Wall Hung,0.74,2
TEM-26CHSABR,AKAI,Non Ducted,Single Split System,Wall Hung,0.76,2.75
TEM-26CHSAKA5,AKAI,Non Ducted,Single Split System,Wall Hung,0.52,4
TEM-35CHSAAK,AKAI,Non Ducted,Wall Hung Portable Balanced,Wall Hung,0.84,3
TEM-35CHSABH,AKAI,Non Ducted,Single Split System,Wall Hung,0.99,2
TEM-35CHSAKA,AKAI,Non Ducted,Single Split System,Wall Hung,0.84,3
TEM-50CHSABR,AKAI,Non Ducted,Single Split System,Wall Hung,1.48,2
TEM-50CHSAKA,AKAI,Non Ducted,Single Split System,Wall Hung,1.48,2
TEM-64CHSAAU,AKAI,Non Ducted,Single Split System,Wall Hung,2.06,1.75
TEM-64CHSAAU,AKAI,Non Ducted,Single Split System,Wall Hung,2.06,1.75
TEM-70CHSAAK5,AKAI,Non Ducted,Single Split System,Wall Hung,1.91,2.5
TEM-70CHSABUI,AKAI,Non Ducted,Single Split System,Wall Hung,2.3,1.5
TEM-70CHSABUI,AKAI,Non Ducted,Single Split System,Wall Hung,2.3,1.5
