Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DNH/VC48Y - 11,AMENA,Ducted,Single Split System,,4.64,0
DNH/VC60Y - 11,AMENA,Ducted,Single Split System,,5.62,0
DNH/VM30V-12,AMENA,Ducted,Single Split System,,2.909,0
DNH/VM36Y - 11,AMENA,Ducted,Single Split System,,3.72,0
DNH/VM48V-11,AMENA,Ducted,Single Split System,,4.98,0
DNH/VM48Y -11,AMENA,Ducted,Single Split System,,4.77,0
DNH/VM60Y -11,AMENA,Ducted,Single Split System,,5.9,0
DNH/VM75Y,AMENA,Ducted,Single Split System,,6.717,0
DNH/VM85Y,AMENA,Ducted,Single Split System,,8.191,0
SC24H,AMENA,Non Ducted,Packaged,,2.5,0
SN13H,AMENA,Non Ducted,Single Split System,,1.34,0
SN18H,AMENA,Non Ducted,Single Split System,,2.04,0
SN24H,AMENA,Non Ducted,Single Split System,,2.51,0
SN36H,AMENA,Non Ducted,Single Split System,,3.6,0
SW10H,AMENA,Non Ducted,Single Split System,,1.04,0
SW13H,AMENA,Non Ducted,Single Split System,,1.29,0
SW18H,AMENA,Non Ducted,Single Split System,,1.91,0
SW24H,AMENA,Non Ducted,Single Split System,,2.4,0
SW27H,AMENA,Non Ducted,Single Split System,,2.8,0
