Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AIC052R1 / AOC052R1,APAC,Non Ducted,Single Split System,Cassette,1.5,2.25
AIC071R1 / AOC071R1,APAC,Non Ducted,Single Split System,Cassette,2.09,2
AIC080R1 / AOC080R1,APAC,Non Ducted,Single Split System,Cassette,2.38,2
AIC110R1 / AOC110R1,APAC,Non Ducted,Single Split System,Cassette,3.38,1.5
AIC130R1 / AOC130R1,APAC,Non Ducted,Single Split System,Cassette,3.93,1.5
H0900,APAC,Ducted,Packaged,,3.528,0
H0935,APAC,Ducted,Packaged,,3.656,0
H0970/H0940,APAC,Non Ducted,Single Split System,,3.516,0
H1100,APAC,Ducted,Packaged,,4.136,0
H1170/H1140,APAC,Non Ducted,Single Split System,,4.101,0
H1220,APAC,Ducted,Packaged,,4.89,0
H1230,APAC,Ducted,Packaged,,5.26,0
H1520,APAC,Ducted,Packaged,,5.666,0
H1520,APAC,Ducted,Packaged,,5.725,0
H1530,APAC,Ducted,Packaged,,6.11,0
H1720,APAC,Ducted,Packaged,,6.38,0
H1730,APAC,Ducted,Packaged,,5.694,0
H2530,APAC,Ducted,Packaged,,5.23,0
H2870/H2840,APAC,Non Ducted,Single Split System,,9.65,0
H3010,APAC,Ducted,Packaged,,10.622,0
H3030,APAC,Ducted,Packaged,,10.534,0
H3080/H3060,APAC,Non Ducted,Single Split System,,10.494,0
H3530,APAC,Ducted,Packaged,,11.69,0
H3580/H3560,APAC,Non Ducted,Single Split System,,11.638,0
H4511,APAC,Ducted,Packaged,,14.402,0
H4531,APAC,Ducted,Packaged,,14.398,0
H4581/H4561,APAC,Non Ducted,Single Split System,,14.32,0
P010AHC7AE,APAC,Ducted,Packaged,,2.84,0
P010AHC7BE,APAC,Ducted,Packaged,,3.14,0
P010AHC9AE,APAC,Ducted,Packaged,,2.84,0
P010AHC9BE,APAC,Ducted,Packaged,,3.09,0
P010AHR7AE,APAC,Ducted,Packaged,,2.84,0
P010AHR7BE,APAC,Ducted,Packaged,,3.14,0
P010AHR9AE,APAC,Ducted,Packaged,,2.84,0
P010AHR9BE,APAC,Ducted,Packaged,,3.09,0
P012AHC7AE,APAC,Ducted,Packaged,,3.72,0
P012AHC7BE,APAC,Ducted,Packaged,,3.92,0
P012AHC9AE,APAC,Ducted,Packaged,,3.66,0
P012AHC9BE,APAC,Ducted,Packaged,,4.16,0
P012AHR7AE,APAC,Ducted,Packaged,,3.72,0
P012AHR7BE,APAC,Ducted,Packaged,,3.92,0
P012AHR9AE,APAC,Ducted,Packaged,,3.66,0
P012AHR9BE,APAC,Ducted,Packaged,,4.16,0
P014AHC9AD,APAC,Ducted,Packaged,,5.348,0
P014AHR9AD,APAC,Ducted,Packaged,,5.348,0
P015AHC7AE,APAC,Ducted,Packaged,,4.5,0
P015AHC7BE,APAC,Ducted,Packaged,,4.57,0
P015AHC9AE,APAC,Ducted,Packaged,,4.42,0
P015AHC9BE,APAC,Ducted,Packaged,,4.55,0
P015AHR7AE,APAC,Ducted,Packaged,,4.5,0
P015AHR7BE,APAC,Ducted,Packaged,,4.57,0
P015AHR9AE,APAC,Ducted,Packaged,,4.42,0
P015AHR9BE,APAC,Ducted,Packaged,,4.55,0
P015AVC9AB,APAC,Ducted,Packaged,,6.513,0
P015AVR9AB,APAC,Ducted,Packaged,,6.513,0
P016AHC9AD,APAC,Ducted,Packaged,,4.947,0
P016AHR9AD,APAC,Ducted,Packaged,,4.947,0
P017AHC9AD,APAC,Ducted,Packaged,,5.935,0
