Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KFR-25GW/CC,ARCTIC AIR,Non Ducted,Single Split System,,0.95,0
KFR-25GW/CC,ARCTIC AIR,Non Ducted,Single Split System,,1.32,0
KFR-35/25/61/66,ARCTIC AIR,Non Ducted,Single Split System,,1.922,0
KFR-35GW/AC,ARCTIC AIR,Non Ducted,Single Split System,,1.32,0
KFR-51GW/C,ARCTIC AIR,Non Ducted,Single Split System,,1.922,0
KFR-61GW/C,ARCTIC AIR,Non Ducted,Single Split System,,0.95,0
KFR-61GW/C,ARCTIC AIR,Non Ducted,Single Split System,,2.32,0
KFR-61GW/C,ARCTIC AIR,Non Ducted,Single Split System,,1.32,0
KFR-66GW/C,ARCTIC AIR,Non Ducted,Single Split System,,0.95,0
KFR-66GW/C,ARCTIC AIR,Non Ducted,Single Split System,,2.65,0
KFR-66GW/C,ARCTIC AIR,Non Ducted,Single Split System,,2.32,0
KFR-66GW/C,ARCTIC AIR,Non Ducted,Single Split System,,1.32,0
