Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AMENA,ARENA,Ducted,Single Split System,,2.628,0
DD09M12,ARENA,Ducted,Single Split System,,2.95,0
DD10.5R22HR-A,ARENA,Ducted,Single Split System,,3.38,0
DD12.7M12,ARENA,Ducted,Single Split System,,4,0
DD14R22HR-A,ARENA,Ducted,Single Split System,,4.49,0
DD17R22HR-A,ARENA,Ducted,Single Split System,,5.45,0
DM24LNVH,ARENA,Ducted,Single Split System,,2.628,0
DM27LNVH,ARENA,Ducted,Single Split System,,3.241,0
DM36LNVH,ARENA,Ducted,Single Split System,,4.07,0
DM36LNVH,ARENA,Ducted,Single Split System,,3.812,0
DM42LNVH,ARENA,Ducted,Single Split System,,4.215,0
DM48LNVH,ARENA,Ducted,Single Split System,,4.932,0
DM58LNVH,ARENA,Ducted,Single Split System,,5.976,0
DM60LNVH,ARENA,Ducted,Single Split System,,5.879,0
DM70LNVH,ARENA,Ducted,Single Split System,,7.759,0
DNH/VC48Y - 11,ARENA,Ducted,Single Split System,,4.64,0
DNH/VC60Y - 11,ARENA,Ducted,Single Split System,,5.62,0
DNH/VM30V-12,ARENA,Ducted,Single Split System,,2.909,0
DNH/VM36Y - 11,ARENA,Ducted,Single Split System,,3.72,0
DNH/VM48V-11,ARENA,Ducted,Single Split System,,4.98,0
DNH/VM48Y -11,ARENA,Ducted,Single Split System,,4.77,0
DNH/VM60Y -11,ARENA,Ducted,Single Split System,,5.9,0
DNH/VM75Y,ARENA,Ducted,Single Split System,,6.717,0
DNH/VM85Y,ARENA,Ducted,Single Split System,,8.191,0
SC24H,ARENA,Non Ducted,Packaged,,2.5,0
SC36H,ARENA,Non Ducted,Packaged,,3.434,0
SC48H,ARENA,Non Ducted,Packaged,,4.733,0
SN13H,ARENA,Non Ducted,Single Split System,,1.34,0
SN18H,ARENA,Non Ducted,Single Split System,,2.04,0
SN24H,ARENA,Non Ducted,Single Split System,,2.51,0
SN36H,ARENA,Non Ducted,Single Split System,,3.6,0
SW10H,ARENA,Non Ducted,Single Split System,,1.04,0
SW13H,ARENA,Non Ducted,Single Split System,,1.29,0
SW18H,ARENA,Non Ducted,Single Split System,,1.91,0
SW24H,ARENA,Non Ducted,Single Split System,,2.4,0
SW27H,ARENA,Non Ducted,Single Split System,,2.8,0
