Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ASR-23,ARLEC,Non Ducted,Single Split System,,0.92,0
ASR-23 series HY1,ARLEC,Non Ducted,Single Split System,,0.92,0
ASR-23 series T1,ARLEC,Non Ducted,Single Split System,,0.92,0
ASR-23 series V,ARLEC,Non Ducted,Single Split System,,0.82,0
ASR-23 series V1,ARLEC,Non Ducted,Single Split System,,0.82,0
ASR-27,ARLEC,Non Ducted,Single Split System,,1.12,0
ASR-27 series HY1,ARLEC,Non Ducted,Single Split System,,1.03,0
ASR-27 series T,ARLEC,Non Ducted,Single Split System,,1.03,0
ASR-35,ARLEC,Non Ducted,Single Split System,,1.28,0
ASR-35 series HY1,ARLEC,Non Ducted,Single Split System,,1.3,0
ASR-35 series T2,ARLEC,Non Ducted,Single Split System,,1.3,0
ASR-40,ARLEC,Non Ducted,Single Split System,,1.5,0
ASR-50,ARLEC,Non Ducted,Single Split System,,1.9,0
ASR-50 series T,ARLEC,Non Ducted,Single Split System,,2.25,0
ASR-60,ARLEC,Non Ducted,Single Split System,,2.48,0
ASR-60 series T,ARLEC,Non Ducted,Single Split System,,2.38,0
ASR-70,ARLEC,Non Ducted,Single Split System,,2.75,0
ASR-70 series T,ARLEC,Non Ducted,Single Split System,,2.7,0
ASR-80,ARLEC,Non Ducted,Single Split System,,3.2,0
ASR-83,ARLEC,Non Ducted,Single Split System,,3.4,0
AWC-20,ARLEC,Non Ducted,Window Wall,,0.82,0
AWR-25,ARLEC,Non Ducted,Window Wall,,1.05,0
AWR-35,ARLEC,Non Ducted,Window Wall,,1.4,0
