Model No,Brand,Control,Prog Name,Type,New CEC,New Star
BEN 36 HID/HCU,BENSON,Ducted,Single Split System,,3.4,1
BEN 56 HID / HCU,BENSON,Ducted,Single Split System,,5.1,1.75
BENDX 1P ACHW 34 R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,1,2.25
BENDX 1P ACHW 51 R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,1.7,1.25
BENDX 1P ACHW 65 R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,2,1.5
BENDX 1P W 24  R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,0.69,2.25
BENDX 1P W 34 R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,1,2.25
BENDX 1P W 51 R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,1.7,1.25
BENDX 1P W 63 R/RC,BENSON,Non Ducted,Single Split System,Wall Hung,2,1.5
BENDX 1T D 103 R/RC,BENSON,Ducted,Single Split System,,3.4,1
BENDX 1T D 123 R/RC,BENSON,Ducted,Single Split System,,3.68,2
BENDX 1T D 128 R/RC,BENSON,Ducted,Single Split System,,3.96,1.75
BENDX 1T D 163 R/RC,BENSON,Ducted,Single Split System,,5.1,1.75
BENDX 1T D 175 R/RC,BENSON,Ducted,Single Split System,,5.47,2
FWB-30H,BENSON,Non Ducted,Single Split System,,2.95,0
FWB-30H,BENSON,Non Ducted,Single Split System,,2.95,0
FWB-36H,BENSON,Non Ducted,Single Split System,,3.5,0
FWB-36H,BENSON,Non Ducted,Single Split System,,3.5,0
KFR 23 GW,BENSON,Non Ducted,Single Split System,,0.8,0
KFR 36 GW,BENSON,Non Ducted,Single Split System,,1.29,0
KFR 50 GW,BENSON,Non Ducted,Single Split System,,2,0
KFR 63 GW,BENSON,Non Ducted,Single Split System,,2.38,0
SP-BSH-09 SERIES,BENSON,Non Ducted,Single Split System,,0.86,0
SP-BSH-12,BENSON,Non Ducted,Single Split System,,1.2,0
SP-BSH-18,BENSON,Non Ducted,Single Split System,,1.75,0
SP-BSH-24,BENSON,Non Ducted,Single Split System,,2.41,0
THM-18MSH,BENSON,Ducted,Single Split System,,2.1,0
THM-30MSH,BENSON,Ducted,Single Split System,,3.35,0
THM-30MSH,BENSON,Ducted,Single Split System,,3.35,0
THM-36MSH,BENSON,Ducted,Single Split System,,4,0
THM-36MSH,BENSON,Ducted,Single Split System,,4,0
THM-44MSH,BENSON,Ducted,Single Split System,,4.65,0
THM-44MSH,BENSON,Ducted,Single Split System,,4.65,0
THM-56MSH,BENSON,Ducted,Single Split System,,5.75,0
THM-60MSH,BENSON,Ducted,Single Split System,,6.15,0
THM-60MSH,BENSON,Ducted,Single Split System,,6.15,0
