Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AS-09CR4FD,BLUEWAY,Non Ducted,Window Wall,,0.96,0
AS-09HR4F,BLUEWAY,Non Ducted,Single Split System,,0.84,0
AS-12HR4F,BLUEWAY,Non Ducted,Single Split System,,1.27,0
AS-12VR4FD,BLUEWAY,Non Ducted,Single Split System,,1.3,0
AS-18HR4F,BLUEWAY,Non Ducted,Single Split System,,1.95,0
AS-24HR4F,BLUEWAY,Non Ducted,Single Split System,,2.75,0
AS-24VR,BLUEWAY,Non Ducted,Single Split System,,2.2,0
AS-30HR4F,BLUEWAY,Non Ducted,Single Split System,,3.3,0
ASW-H09A4 and ASW-H09M,BLUEWAY,Non Ducted,Single Split System,,0.94,0
ASW-H12A4 and ASW-H12M,BLUEWAY,Non Ducted,Single Split System,,1.28,0
ASW-H24A4 and ASW-H22M,BLUEWAY,Non Ducted,Single Split System,,2.4,0
ASW-H24B4 and ASW-H24M,BLUEWAY,Non Ducted,Single Split System,,2.7,0
AW-05CR4FD,BLUEWAY,Non Ducted,Window Wall,,0.535,0
AW-12CR4FD,BLUEWAY,Non Ducted,Window Wall,,1.3,0
BCB-20C,BLUEWAY,Non Ducted,Window Wall,,0.81,0
BCB-20C,BLUEWAY,Non Ducted,Window Wall,,0.81,0
BCB-25C,BLUEWAY,Non Ducted,Window Wall,,0.98,0
BCB-35C,BLUEWAY,Non Ducted,Window Wall,,1.48,0
BCB-35C,BLUEWAY,Non Ducted,Window Wall,,1.48,0
BCR-25GW,BLUEWAY,Non Ducted,Single Split System,,0.99,0
BCR-25GW,BLUEWAY,Non Ducted,Single Split System,,0.99,0
BCR-35GW,BLUEWAY,Non Ducted,Single Split System,,1.32,0
BCR-51GW and BLR-51GW,BLUEWAY,Non Ducted,Single Split System,,2.05,0
BCR-61GW,BLUEWAY,Non Ducted,Single Split System,,2.46,0
BCR-70GW,BLUEWAY,Non Ducted,Single Split System,,2.9,0
BCR-82GW,BLUEWAY,Non Ducted,Single Split System,,3.28,0
BCR-82GW,BLUEWAY,Non Ducted,Single Split System,,3.28,0
BLR-25GW,BLUEWAY,Non Ducted,Single Split System,,0.99,0
BLR-25GW,BLUEWAY,Non Ducted,Single Split System,,0.99,0
BLR-35GW / BCR-35GW,BLUEWAY,Non Ducted,Single Split System,,1.32,0
BLR-51GW,BLUEWAY,Non Ducted,Single Split System,,2.05,0
BLR-61GW / BCR-61GW,BLUEWAY,Non Ducted,Single Split System,,2.46,0
BLR-70GW / BCR-70GW,BLUEWAY,Non Ducted,Single Split System,,2.9,0
BLR-82GW,BLUEWAY,Non Ducted,Single Split System,,3.28,0
KFR-35GJW,BLUEWAY,Non Ducted,Single Split System,,1.36,0
KFR-52GW/M,BLUEWAY,Non Ducted,Single Split System,,1.95,0
KFR-70GW/M,BLUEWAY,Non Ducted,Single Split System,,2.75,0
KFR-73GW/K,BLUEWAY,Non Ducted,Single Split System,,3.91,0
