Model No,Brand,Control,Prog Name,Type,New CEC,New Star
B016HD/RT,BONAIRE,Ducted,Single Split System,,5.8,0
B019HD/RT,BONAIRE,Ducted,Single Split System,,6.7,0
BHWSI/35  BHWSO/35,BONAIRE,Non Ducted,Single Split System,Wall Hung,0.84,3
BHWSI/52 BHWSO/52,BONAIRE,Non Ducted,Single Split System,,1.48,2
BHWSI/70 BHWSO/70,BONAIRE,Non Ducted,Single Split System,,2.1,2
BI12DC-BI12OD,BONAIRE,Ducted,Single Split System,,4.35,0
BI12ID-BI12OD,BONAIRE,Ducted,Single Split System,,4.35,0
BI12ID-BI12OD,BONAIRE,Ducted,Single Split System,,3.8,0
BI14DC-BI14OD,BONAIRE,Ducted,Single Split System,,5.07,0
BI14ID-BI14OD,BONAIRE,Ducted,Single Split System,,5.07,0
BI14ID-BI14OD,BONAIRE,Ducted,Single Split System,,4.4,0
BI18ID-BI18OD,BONAIRE,Ducted,Single Split System,,6.15,0
