Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HIA025C1AA+HOA025C3AA,CAA,Ducted,Single Split System,,8.082,0
HIA025R1AA+HOA025R3AA,CAA,Ducted,Single Split System,,8.082,0
HIA030C1AA+HOA030C3AA,CAA,Ducted,Single Split System,,9.345,0
HIA030R1AA+HOA030R3AA,CAA,Ducted,Single Split System,,9.345,0
VPA012C3AA,CAA,Ducted,Packaged,,3.877,0
VPA012R3AA,CAA,Ducted,Packaged,,3.877,0
VPA015C3AA,CAA,Ducted,Packaged,,5.011,0
VPA015R3AA,CAA,Ducted,Packaged,,5.011,0
VPA018C3AA,CAA,Ducted,Packaged,,5.881,0
VPA018R3AA,CAA,Ducted,Packaged,,5.881,0
VPA030C3AA,CAA,Ducted,Packaged,,4.749,0
VPA030R3AA,CAA,Ducted,Packaged,,4.749,0
