Model No,Brand,Control,Prog Name,Type,New CEC,New Star
38DXA136913/40QCA036781--03,CARRIER,Ducted,Single Split System,,3.463,0
38DXA148913/40QCA048791--03,CARRIER,Ducted,Single Split System,,5.563,0
38DXA165913/40QCA060791--03,CARRIER,Ducted,Single Split System,,5.715,0
38G250C,CARRIER,Non Ducted,Single Split System,,2.37,0
40DXA08 + 30DXA080-901-03,CARRIER,Non Ducted,Single Split System,,7.738,0
40GKX018,CARRIER,Non Ducted,Packaged,,1.72,0
40GKX018-7 / 38YL018,CARRIER,Non Ducted,Packaged,,1.72,0
40GKX024,CARRIER,Non Ducted,Packaged,,2.4,0
40GKX024-7 / 38YL024,CARRIER,Non Ducted,Packaged,,2.4,0
40GKX028,CARRIER,Non Ducted,Packaged,,2.63,0
40GKX028-7 / 38YL028,CARRIER,Non Ducted,Packaged,,2.63,0
40GKX036---70340 / 38YL-36A903EJ40,CARRIER,Non Ducted,Packaged,,3,0
40GKX048---70340 / 38YL-48A903EJ40,CARRIER,Non Ducted,Packaged,,3.43,0
40GKX060---703-40 / 38YL-60A903EJ40,CARRIER,Non Ducted,Packaged,,4.66,0
40KQV050A/38VYX050,CARRIER,Non Ducted,Single Split System,,1.83,0
40KQV050A/38VYX050,CARRIER,Non Ducted,Single Split System,,1.83,0
40KQV080A/38VYX080,CARRIER,Non Ducted,Single Split System,,2.35,0
40KQV110A/38VYX110,CARRIER,Non Ducted,Single Split System,,3.61,0
40KQV130A/38VYX130,CARRIER,Non Ducted,Single Split System,,4.35,0
40QCA036781/38DXA136913,CARRIER,Ducted,Single Split System,,4,0
40QCA036781V-03,CARRIER,Ducted,Single Split System,,3.463,0
40QCA048791V-03,CARRIER,Ducted,Single Split System,,5.563,0
40QCA060791V-03,CARRIER,Ducted,Single Split System,,5.715,0
40QPA06-7+38QPA06-7,CARRIER,Ducted,Single Split System,,1.75,0
40QPA06-7+38QPA06-7,CARRIER,Ducted,Single Split System,,1.943,0
40QPA08-7+38QPA08-7,CARRIER,Ducted,Single Split System,,2.3,0
40QPA08-7+38QPA08-7,CARRIER,Ducted,Single Split System,,2.48,0
40QPA10-7-E+38QPA10-9,CARRIER,Ducted,Single Split System,,2.88,0
40QPA10-7+38QPA10-7,CARRIER,Ducted,Single Split System,,2.805,0
40QPA10-7+38QPA10-7,CARRIER,Ducted,Single Split System,,3.025,0
40QPA10-7+38QPA10-9,CARRIER,Ducted,Single Split System,,2.815,0
40QPA10-7+38QPA10-9,CARRIER,Ducted,Single Split System,,3.035,0
40QPA12-7+38QPA12-7,CARRIER,Ducted,Single Split System,,3.632,0
40QPA12-7+38QPA12-7,CARRIER,Ducted,Single Split System,,3.892,0
