Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KC-25/WA1,CELESTIAL,Non Ducted,Window Wall,,0.98,0
KC-25/WA1,CELESTIAL,Non Ducted,Window Wall,,0.98,0
KC-35/WB1,CELESTIAL,Non Ducted,Window Wall,,1.4,0
KFR-26GW/C3,CELESTIAL,Non Ducted,Single Split System,,0.98,0
KFR-26GW/C3,CELESTIAL,Non Ducted,Single Split System,,0.98,0
KFR-28GW/A,CELESTIAL,Non Ducted,Single Split System,,1.12,0
KFR-36GW/C3,CELESTIAL,Non Ducted,Single Split System,,1.45,0
KFR-36GW/C3,CELESTIAL,Non Ducted,Single Split System,,1.45,0
KFR-51GW/K,CELESTIAL,Non Ducted,Single Split System,,2.05,0
KFR-51GW/K,CELESTIAL,Non Ducted,Single Split System,,2.05,0
KFR-51GW/WS,CELESTIAL,Non Ducted,Single Split System,,1.9,0
KFR-70GW/K,CELESTIAL,Non Ducted,Single Split System,,2.85,0
KFR-70GW/K,CELESTIAL,Non Ducted,Single Split System,,2.85,0
KFR-70GW/K1,CELESTIAL,Non Ducted,Single Split System,,2.85,0
KFR-73GW/K,CELESTIAL,Non Ducted,Single Split System,,3.91,0
