Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AC05WRE,CELSIUS,Non Ducted,Window Wall,,0.535,0
AC07WRE,CELSIUS,Non Ducted,Window Wall,,0.765,0
AC09WRE,CELSIUS,Non Ducted,Window Wall,,0.96,0
AC12WRE,CELSIUS,Non Ducted,Window Wall,,1.3,0
AC18WRE,CELSIUS,Non Ducted,Window Wall,,2.1,0
AC7RC,CELSIUS,Non Ducted,Single Split System,,0.79,0
ACC13RCG,CELSIUS,Non Ducted,Single Split System,,1.3,0
ACC19RCG,CELSIUS,Non Ducted,Single Split System,,1.96,0
ACC25RCG,CELSIUS,Non Ducted,Single Split System,,2.5,0
ACC7RCG,CELSIUS,Non Ducted,Single Split System,,0.79,0
ACC9RCG,CELSIUS,Non Ducted,Single Split System,,0.92,0
ACK12RC,CELSIUS,Non Ducted,Single Split System,,1.27,0
ACK24RC,CELSIUS,Non Ducted,Single Split System,,2.75,0
ACK9RC,CELSIUS,Non Ducted,Single Split System,,0.88,0
