Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CHA25GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,0.7,2
CHA35GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.01,2
CHA35GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1,2
CHA60GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.92,1
CHA60GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.94,1
CHB25GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,0.7,2
CHB35GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.01,2
CHB35GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1,2
CHB60GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.92,1
CHB60GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.94,1
CHC25GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,0.7,2
CHC35GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.01,2
CHC35GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1,2
CHC60GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.92,1
CHC60GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.94,1
CHD25GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,0.7,2
CHD35GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.01,2
CHD35GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1,2
CHD60GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.92,1
CHD60GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.94,1
CHE25GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,0.7,2
CHE35GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.01,2
CHE35GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1,2
CHE60GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.92,1
CHE60GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.94,1
CHF25GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,0.7,2
CHF35GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.01,2
CHF35GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1,2
CHF60GWN,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.92,1
CHF60GWT,CHANGHONG,Non Ducted,Single Split System,Wall Hung,1.94,1
