Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CA-25RSM,CHIGO,Non Ducted,Window Wall,,0.95,0
CA-25RSM,CHIGO,Non Ducted,Single Split System,,0.94,0
CA-25RSM/2,CHIGO,Non Ducted,Single Split System,Wall Hung,0.79,0
CA-25RSS,CHIGO,Non Ducted,Window Wall,,0.95,0
CA-25RSS,CHIGO,Non Ducted,Single Split System,,0.95,0
CA-25RSS/2,CHIGO,Non Ducted,Single Split System,Wall Hung,0.79,0
CA-32CWM,CHIGO,Non Ducted,Window Wall,,1.38,0
CA-35RSM/2,CHIGO,Non Ducted,Single Split System,Wall Hung,1.06,0
CA-35RSS/2,CHIGO,Non Ducted,Single Split System,Wall Hung,1.06,0
CA-36RSM,CHIGO,Non Ducted,Single Split System,,1.32,0
CA-36RSS,CHIGO,Non Ducted,Single Split System,,1.15,0
CA-36RSS,CHIGO,Non Ducted,Single Split System,,1.15,0
CA-51RSM,CHIGO,Non Ducted,Single Split System,,2.05,0
CA-51RSM/2,CHIGO,Non Ducted,Single Split System,Wall Hung,1.7,0
CA-51RSS,CHIGO,Non Ducted,Single Split System,,2.05,0
CA-51RSS,CHIGO,Non Ducted,Single Split System,,2.05,0
CA-61RSM,CHIGO,Non Ducted,Single Split System,,2.62,0
CA-61RSM/2,CHIGO,Non Ducted,Single Split System,Wall Hung,2.1,0
CA-61RSS,CHIGO,Non Ducted,Single Split System,,2.32,0
CA-61RSS,CHIGO,Non Ducted,Single Split System,,2.32,0
CA-61RSS/2,CHIGO,Non Ducted,Single Split System,Wall Hung,2.1,0
CA-66RSM,CHIGO,Non Ducted,Single Split System,,2.65,0
CA-66RSM,CHIGO,Non Ducted,Single Split System,,2.65,0
CA70RSM/2,CHIGO,Non Ducted,Single Split System,Wall Hung,2.4,0
CS-25H3A-M*AH5,CHIGO,Non Ducted,Single Split System,Wall Hung,0.77,2.25
CS-25H3A-M*AH5,CHIGO,Non Ducted,Single Split System,Wall Hung,0.77,2.25
CS-25V3A-M*AH4L,CHIGO,Non Ducted,Single Split System,Wall Hung,0.75,2.25
CS-25V3A-M*AH4L,CHIGO,Non Ducted,Single Split System,Wall Hung,0.75,2.25
CS-25V3A-MH5M,CHIGO,Non Ducted,Single Split System,Wall Hung,0.675,2.75
CS-25V3A-PD/CS-25V3A-H5D,CHIGO,Non Ducted,Single Split System,Wall Hung,0.58,4
