Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FR125-C/WaS,CHUNLAN,Ducted,Single Split System,,4.6,0
FR125/WaS,CHUNLAN,Ducted,Single Split System,,4.9,0
FR125S,CHUNLAN,Ducted,Single Split System,,4.9,0
FR180/WaS,CHUNLAN,Ducted,Single Split System,,6.5,0
FR180S,CHUNLAN,Ducted,Single Split System,,6.5,0
FR190/WaS,CHUNLAN,Ducted,Single Split System,,6.9,0
FR260S,CHUNLAN,Ducted,Single Split System,,11,0
FR95,CHUNLAN,Ducted,Single Split System,,3.9,0
FR95-C/Wa,CHUNLAN,Ducted,Single Split System,,3.4,0
FR95-C/WaS,CHUNLAN,Ducted,Single Split System,,3.4,0
FR95/Wa,CHUNLAN,Ducted,Single Split System,,3.6,0
FR95/WaS,CHUNLAN,Ducted,Single Split System,,3.6,0
KC-20/EG,CHUNLAN,Non Ducted,Window Wall,,0.8,0
KC-20/I2,CHUNLAN,Non Ducted,Window Wall,,0.82,0
KC-25/I2,CHUNLAN,Non Ducted,Window Wall,,1.06,0
KC-35/I1,CHUNLAN,Non Ducted,Window Wall,,1.48,0
KC-40/EG,CHUNLAN,Non Ducted,Window Wall,,1.55,0
KC-50/I1,CHUNLAN,Non Ducted,Window Wall,,2.1,0
KCR-25/Y,CHUNLAN,Non Ducted,Window Wall,,1.05,0
KCR-35/Y,CHUNLAN,Non Ducted,Window Wall,,1.4,0
KCR-50/I1,CHUNLAN,Non Ducted,Window Wall,,2.2,0
KF-22GW,CHUNLAN,Non Ducted,Single Split System,,0.85,0
KF-23GW/H1,CHUNLAN,Non Ducted,Single Split System,,0.91,0
KF-23GW/HY1,CHUNLAN,Non Ducted,Single Split System,,0.91,0
KF-23GW/T,CHUNLAN,Non Ducted,Single Split System,,0.91,0
KF-25GW/VWa,CHUNLAN,Non Ducted,Single Split System,,0.82,0
KF-32GW,CHUNLAN,Non Ducted,Single Split System,,1.23,0
KF-32GW/VWa,CHUNLAN,Non Ducted,Single Split System,,1.04,0
KF-35GW,CHUNLAN,Non Ducted,Single Split System,,1.25,0
KF-35GW/A,CHUNLAN,Non Ducted,Single Split System,,1.25,0
KF-35GW/C,CHUNLAN,Non Ducted,Single Split System,,1.28,0
KF-35GW/H1,CHUNLAN,Non Ducted,Single Split System,,1.25,0
KF-35GW/HY1,CHUNLAN,Non Ducted,Single Split System,,1.25,0
KF-35GW/T1,CHUNLAN,Non Ducted,Single Split System,,1.25,0
KF-50GW,CHUNLAN,Non Ducted,Single Split System,,1.95,0
KF-50GW/B,CHUNLAN,Non Ducted,Single Split System,,1.95,0
KFR-125QW/AS,CHUNLAN,Non Ducted,Single Split System,,4.9,0
KFR-125QW/WS,CHUNLAN,Non Ducted,Single Split System,,5.3,0
KFR-22GW,CHUNLAN,Non Ducted,Single Split System,,0.85,0
KFR-23GW/H1,CHUNLAN,Non Ducted,Single Split System,,0.92,0
KFR-23GW/HY1,CHUNLAN,Non Ducted,Single Split System,,0.92,0
KFR-23GW/HY1,CHUNLAN,Non Ducted,Single Split System,,0.92,0
KFR-23GW/T,CHUNLAN,Non Ducted,Single Split System,,0.92,0
KFR-23GW/T1,CHUNLAN,Non Ducted,Single Split System,,0.92,0
KFR-23GW/V,CHUNLAN,Non Ducted,Single Split System,,0.82,0
KFR-23GW/V,CHUNLAN,Non Ducted,Single Split System,,0.82,0
KFR-23GW/V1,CHUNLAN,Non Ducted,Single Split System,,0.82,0
KFR-23GW/V1,CHUNLAN,Non Ducted,Single Split System,,0.82,0
KFR-25GW/AZ3Wa-E0,CHUNLAN,Non Ducted,Single Split System,Wall Hung,0.71,2.75
KFR-25GW/T,CHUNLAN,Non Ducted,Single Split System,,1.2,0
KFR-25GW/V,CHUNLAN,Non Ducted,Single Split System,,0.88,0
KFR-25GW/V,CHUNLAN,Non Ducted,Single Split System,,0.88,0
KFR-25GW/V1,CHUNLAN,Non Ducted,Single Split System,,0.88,0
KFR-25GW/V1,CHUNLAN,Non Ducted,Single Split System,,0.88,0
KFR-25GW/VW,CHUNLAN,Non Ducted,Single Split System,,1,0
KFR-25GW/VWa,CHUNLAN,Non Ducted,Single Split System,,0.82,0
KFR-25GW/W,CHUNLAN,Non Ducted,Single Split System,,1.1,0
KFR-25GW/WHY1,CHUNLAN,Non Ducted,Single Split System,,1.1,0
KFR-27GW,CHUNLAN,Non Ducted,Single Split System,,1.12,0
KFR-27GW/B,CHUNLAN,Non Ducted,Single Split System,,1.12,0
KFR-27GW/C,CHUNLAN,Non Ducted,Single Split System,,1.1,0
KFR-27GW/H1,CHUNLAN,Non Ducted,Single Split System,,1.12,0
KFR-27GW/HY1,CHUNLAN,Non Ducted,Single Split System,,1.03,0
KFR-27GW/T,CHUNLAN,Non Ducted,Single Split System,,1.12,0
KFR-27GW/T,CHUNLAN,Non Ducted,Single Split System,,1.03,0
KFR-27GW/W1,CHUNLAN,Non Ducted,Single Split System,,1.12,0
KFR-32GW,CHUNLAN,Non Ducted,Single Split System,,1.2,0
KFR-32GW/BPA,CHUNLAN,Non Ducted,Single Split System,,1.25,0
KFR-32GW/T1,CHUNLAN,Non Ducted,Single Split System,,1.35,0
KFR-32GW/V,CHUNLAN,Non Ducted,Single Split System,,1.15,0
KFR-32GW/V,CHUNLAN,Non Ducted,Single Split System,,1.15,0
KFR-32GW/V1,CHUNLAN,Non Ducted,Single Split System,,1.15,0
KFR-32GW/V1,CHUNLAN,Non Ducted,Single Split System,,1.15,0
KFR-32GW/VW,CHUNLAN,Non Ducted,Single Split System,,1.3,0
KFR-32GW/VWa,CHUNLAN,Non Ducted,Single Split System,,1.04,0
KFR-32GW/W,CHUNLAN,Non Ducted,Single Split System,,1.38,0
KFR-32GW/WHY1,CHUNLAN,Non Ducted,Single Split System,,1.38,0
KFR-35GW,CHUNLAN,Non Ducted,Single Split System,,1.28,0
KFR-35GW/AZ3Wa-E0,CHUNLAN,Non Ducted,Single Split System,Wall Hung,0.94,2.75
KFR-35GW/H1,CHUNLAN,Non Ducted,Single Split System,,1.28,0
KFR-35GW/HY1,CHUNLAN,Non Ducted,Single Split System,,1.28,0
KFR-35GW/HY1,CHUNLAN,Non Ducted,Single Split System,,1.3,0
KFR-35GW/T1,CHUNLAN,Non Ducted,Single Split System,,1.28,0
KFR-35GW/T2,CHUNLAN,Non Ducted,Single Split System,,1.3,0
KFR-35GW/V,CHUNLAN,Non Ducted,Single Split System,,1.23,0
KFR-35GW/V,CHUNLAN,Non Ducted,Single Split System,,1.23,0
KFR-35GW/V1,CHUNLAN,Non Ducted,Single Split System,,1.23,0
KFR-35GW/V1,CHUNLAN,Non Ducted,Single Split System,,1.23,0
KFR-35GW/W1,CHUNLAN,Non Ducted,Single Split System,,1.28,0
KFR-40GW,CHUNLAN,Non Ducted,Single Split System,,1.5,0
KFR-50GW,CHUNLAN,Non Ducted,Single Split System,,1.9,0
KFR-50GW/AZ2Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/AZ3Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/B,CHUNLAN,Non Ducted,Single Split System,,1.9,0
KFR-50GW/T,CHUNLAN,Non Ducted,Single Split System,,2.25,0
KFR-50GW/VE1Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VE2Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VF1Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VF2Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VJ1,CHUNLAN,Non Ducted,Single Split System,Wall Hung,1.79,0
KFR-50GW/VJ1Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VJ3Wa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VJWa-E2,Chunlan,Non Ducted,Single Split System,Wall Hung,1.533,2.25
KFR-50GW/VWa,CHUNLAN,Non Ducted,Single Split System,,1.78,0
KFR-50GW/W1,CHUNLAN,Non Ducted,Single Split System,,1.9,0
KFR-50GW/W1,CHUNLAN,Non Ducted,Single Split System,,1.98,0
KFR-60GW,CHUNLAN,Non Ducted,Single Split System,,2.48,0
KFR-60GW/A,CHUNLAN,Non Ducted,Single Split System,,2.48,0
KFR-60GW/T,CHUNLAN,Non Ducted,Single Split System,,2.38,0
KFR-60GW/VJ,CHUNLAN,Non Ducted,Single Split System,Wall Hung,2.16,0
KFR-60GW/VWa,CHUNLAN,Non Ducted,Single Split System,,2.14,0
KFR-60GW/W,CHUNLAN,Non Ducted,Single Split System,,2.38,0
KFR-65QW/A,CHUNLAN,Non Ducted,Single Split System,,2.7,0
KFR-70GW,CHUNLAN,Non Ducted,Single Split System,,2.75,0
KFR-70GW/B,CHUNLAN,Non Ducted,Single Split System,,2.75,0
KFR-70GW/T,CHUNLAN,Non Ducted,Single Split System,,2.7,0
KFR-70GW/VJ,CHUNLAN,Non Ducted,Single Split System,Wall Hung,2.52,0
KFR-70GW/VWa,CHUNLAN,Non Ducted,Single Split System,,2.51,0
KFR-70GW/W,CHUNLAN,Non Ducted,Single Split System,,2.75,0
KFR-70GW/W,CHUNLAN,Non Ducted,Single Split System,,2.9,0
KFR-70LW/Cd,CHUNLAN,Non Ducted,Single Split System,,2.8,0
KFR-70QW,CHUNLAN,Non Ducted,Single Split System,,2.8,0
KFR-83GW,CHUNLAN,Non Ducted,Single Split System,,3.4,0
STARWAY,CHUNLAN,Non Ducted,Single Split System,,2.75,0
