Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KC-20,COLDAIR,Non Ducted,Window Wall,,0.81,0
KC-25/AYac(B++A),COLDAIR,Non Ducted,Window Wall,,0.98,0
KCD-32,COLDAIR,Non Ducted,Window Wall,,1.38,0
KFR-25GW,COLDAIR,Non Ducted,Single Split System,,0.95,0
KFR-35GW,COLDAIR,Non Ducted,Single Split System,,1.32,0
KFR-51GW,COLDAIR,Non Ducted,Single Split System,,2.05,0
KFR-61GW,COLDAIR,Non Ducted,Single Split System,,2.32,0
KFR-66GW,COLDAIR,Non Ducted,Single Split System,,2.82,0
KFR-82GW/c,COLDAIR,Non Ducted,Single Split System,,3.28,0
KFR-82GW/S,COLDAIR,Non Ducted,Single Split System,,3.55,0
