Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CA07000,CONIA,Non Ducted,Single Split System,,0.79,0
CA12000,CONIA,Non Ducted,Single Split System,,1.3,0
CA12001,CONIA,Non Ducted,Single Split System,,1.2,0
CA12002,CONIA,Non Ducted,Single Split System,Wall Hung,1.25,0
CA12003,CONIA,Non Ducted,Single Split System,Wall Hung,1.05,0
CA12005,CONIA,Non Ducted,Single Split System,Wall Hung,0.94,0
CA18000,CONIA,Non Ducted,Single Split System,,1.96,0
CA18000,CONIA,Non Ducted,Single Split System,,1.96,0
CA18002,CONIA,Non Ducted,Single Split System,Wall Hung,2.08,0
CA18003,CONIA,Non Ducted,Single Split System,Wall Hung,1.9,0
CA22003,CONIA,Non Ducted,Single Split System,Wall Hung,2.05,0
CA24000,CONIA,Non Ducted,Single Split System,,2.5,0
CA24001,CONIA,Non Ducted,Single Split System,,2.64,0
CA24003,CONIA,Non Ducted,Single Split System,Wall Hung,2.3,0
CA30001,CONIA,Non Ducted,Single Split System,,3.5,0
CA30003,CONIA,Non Ducted,Single Split System,Wall Hung,2.7,0
CA9001,CONIA,Non Ducted,Single Split System,,0.9,0
CA9002,CONIA,Non Ducted,Single Split System,Wall Hung,0.98,0
CA9003,CONIA,Non Ducted,Single Split System,Wall Hung,0.77,0
CBA121,CONIA,Non Ducted,Window Wall,,1.15,0
CBA901C,CONIA,Non Ducted,Window Wall,,0.82,0
