Model No,Brand,Control,Prog Name,Type,New CEC,New Star
COC09HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,0.78,0
COC09HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,0.75,2.5
COC12HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.05,0
COC12HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.05,0
COC12HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,0.91,2.5
COC18HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.65,0
COC18HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.7,0
COC18HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.57,2
COC24HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,2.2,0
COC24HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,2.15,2
COCI09HRDN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,0.69,3
COCI12HRDN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,0.88,3
COCI18HRDN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.54,2
COCI22HRDN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,1.85,2
COCI24HRDN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,2.08,2
COCI28HRDN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,2.46,2
COCX28HRN1,COOL OR COSY,Non Ducted,Single Split System,Wall Hung,2.46,2
WCOC12HR2-C1,COOL OR COSY,Non Ducted,Window Wall,,1.09,0.75
WCOC12HR2-V3,COOL OR COSY,Non Ducted,Window Wall,,1.15,2
WCOC18HRN2,COOL OR COSY,Non Ducted,Window Wall,,1.59,2
