Model No,Brand,Control,Prog Name,Type,New CEC,New Star
E2extreme,COOLINE,Non Ducted,Single Split System,,2.44,0
E2extreme,COOLINE,Non Ducted,Single Split System,,1.27,0
E2extreme,COOLINE,Non Ducted,Single Split System,,1.04,0
HL036,COOLINE,Ducted,Packaged,,4.2,0
HL048,COOLINE,Ducted,Packaged,,5.8,0
HL060,COOLINE,Ducted,Packaged,,6.6,0
HL075,COOLINE,Ducted,Packaged,,7.8,0
HL090,COOLINE,Ducted,Packaged,,9.48,0
HL120,COOLINE,Ducted,Packaged,,13.2,0
HWL09EHA/KLE09BSTH,COOLINE,Non Ducted,Single Split System,,1,0
HWL12EHA/KLE12BSTH,COOLINE,Non Ducted,Single Split System,,1.3,0
HWL18EHA/KLE18BSRH,COOLINE,Non Ducted,Single Split System,,2,0
HWL24EHA/KLE24BSRH,COOLINE,Non Ducted,Single Split System,,2.5,0
KQ/DQ,COOLINE,Ducted,Packaged,,6.25,0
LCB09BTXCAANG,COOLINE,Non Ducted,Window Wall,,1.07,0
LCB12BTXCAANG,COOLINE,Non Ducted,Window Wall,,1.4,0
LCB20BMXCAANG,COOLINE,Non Ducted,Window Wall,,2.16,0
LCB24BMXCAANG,COOLINE,Non Ducted,Window Wall,,2.7,0
LHB09BTH,COOLINE,Non Ducted,Window Wall,,1.07,0
LHB12BTH,COOLINE,Non Ducted,Window Wall,,1.44,0
LHB15BRH,COOLINE,Non Ducted,Window Wall,,1.82,0
LHB20BRH,COOLINE,Non Ducted,Window Wall,,2.2,0
LHB24BRH,COOLINE,Non Ducted,Window Wall,,2.75,0
MWL09 / MKC09,COOLINE,Non Ducted,Single Split System,,0.98,0
MWL12 / MKC12,COOLINE,Non Ducted,Single Split System,,1.3,0
MWL18 / MKC18,COOLINE,Non Ducted,Single Split System,,2.03,0
MWL24 / MKC24,COOLINE,Non Ducted,Single Split System,,2.39,0
UDL42BHNARCH,COOLINE,Ducted,Single Split System,,4.215,0
Z-D48,COOLINE,Ducted,Packaged,,5.27,0
