Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ASW-H09A4/HSL,COUNTRY AIR,Non Ducted,Single Split System,,0.94,0
ASW-H12A4/HSL,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
ASW(H)24A4/HSA,COUNTRY AIR,Non Ducted,Single Split System,,2.4,0
CCAC09CHS,COUNTRY AIR,Non Ducted,Single Split System,,0.9,0
CCAC12CHS,COUNTRY AIR,Non Ducted,Single Split System,,1.2,0
CCAC18CHS,COUNTRY AIR,Non Ducted,Single Split System,,2.1,0
CCAC24CHS,COUNTRY AIR,Non Ducted,Single Split System,,2.6,0
CYA09HSL,COUNTRY AIR,Non Ducted,Single Split System,,0.94,0
CYA12HSL,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
CYA22HSA,COUNTRY AIR,Non Ducted,Single Split System,,2.4,0
CYA24HSA,COUNTRY AIR,Non Ducted,Single Split System,,2.7,0
CYAWH07HR,COUNTRY AIR,Non Ducted,Window Wall,,0.79,0
CYAWH09HR,COUNTRY AIR,Non Ducted,Window Wall,,0.96,0
CYAWH12HR,COUNTRY AIR,Non Ducted,Window Wall,,1.31,0
CYAWH16HR,COUNTRY AIR,Non Ducted,Window Wall,,1.61,0
CYAWH18HR,COUNTRY AIR,Non Ducted,Window Wall,,1.84,0
CYAWH21HR,COUNTRY AIR,Non Ducted,Window Wall,,2.4,0
KFR - 53 GW,COUNTRY AIR,Non Ducted,Single Split System,,2.4,0
KFR-32GW/H - ASW-(H)12A4/HSA,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-53,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-53,COUNTRY AIR,Non Ducted,Single Split System,,0.94,0
KFR-53,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-60,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-60,COUNTRY AIR,Non Ducted,Single Split System,,0.94,0
KFR-60,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-60GW,COUNTRY AIR,Non Ducted,Single Split System,,2.4,0
KFR-70,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-70,COUNTRY AIR,Non Ducted,Single Split System,,0.94,0
KFR-70,COUNTRY AIR,Non Ducted,Single Split System,,1.28,0
KFR-70GW KFR-32 GW/H,COUNTRY AIR,Non Ducted,Single Split System,,2.4,0
TAC-12CHS/E,COUNTRY AIR,Non Ducted,Single Split System,,1.2,0
