Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DSB-18HRDN1-QC2G,DEC,Non Ducted,Single Split System,Wall Hung,1.54,2
AC-15HR,DEC,Non Ducted,Single Split System,,1.3,0
AC-20HR,DEC,Non Ducted,Single Split System,,1.96,0
AC-25HR,DEC,Non Ducted,Single Split System,,2.5,0
AC15HR,DEC,Non Ducted,Single Split System,Wall Hung,1,0
AC18SP,DEC,Non Ducted,Single Split System,,1.35,0
AC24SP,DEC,Non Ducted,Single Split System,,2.25,0
AC24SP,DEC,Non Ducted,Single Split System,,2.25,0
AC25HR,DEC,Non Ducted,Single Split System,Wall Hung,2.2,0
AC32SP,DEC,Non Ducted,Single Split System,,2.7,0
AC75HP,DEC,Non Ducted,Window Wall,,0.82,0
