Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DIR-25,DL,Non Ducted,Single Split System,,0.98,0
DIR-35,DL,Non Ducted,Single Split System,,1.29,0
DMIR-26,DL,Non Ducted,Double/Triple Split,,1.87,0
DSR-25,DL,Non Ducted,Single Split System,,0.87,0
DSR-35,DL,Non Ducted,Single Split System,,1.35,0
DSR-35,DL,Non Ducted,Single Split System,,1.35,0
DSR-50GW,DL,Non Ducted,Single Split System,,1.95,0
DSR-50GW,DL,Non Ducted,Single Split System,,1.95,0
DSR-60,DL,Non Ducted,Single Split System,,2.35,0
DSR-60,DL,Non Ducted,Single Split System,,2.35,0
DSR-70GW,DL,Non Ducted,Single Split System,,2.75,0
DSR-70GW,DL,Non Ducted,Single Split System,,2.75,0
DSR53GW,DL,Non Ducted,Single Split System,Wall Hung,1.9,0
DW-15,DL,Non Ducted,Window Wall,,0.6,0
DW-15,DL,Non Ducted,Window Wall,,0.6,0
DW-20,DL,Non Ducted,Window Wall,,0.8,0
DW-20,DL,Non Ducted,Window Wall,,0.8,0
DWR-25,DL,Non Ducted,Window Wall,,1,0
DWR-25,DL,Non Ducted,Window Wall,,1,0
DWR-35,DL,Non Ducted,Window Wall,,1.35,0
DWR-35,DL,Non Ducted,Window Wall,,1.35,0
DWR-40,DL,Non Ducted,Window Wall,,1.55,0
DWR-60,DL,Non Ducted,Window Wall,,2.35,0
DWR-60,DL,Non Ducted,Window Wall,,2.35,0
