Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DSB-092LH,DAEWOO,Non Ducted,Single Split System,,1,0
DSB-092LHG,DAEWOO,Non Ducted,Single Split System,,0.92,0
DSB-123LH,DAEWOO,Non Ducted,Single Split System,,1.3,0
DSB-125LHM,DAEWOO,Non Ducted,Single Split System,Wall Hung,1.02,0
DSB-185LHM,DAEWOO,Non Ducted,Single Split System,Wall Hung,1.7,0
DSB-240LH-RS,DAEWOO,Non Ducted,Single Split System,,2.52,0
DSB-242LHG,DAEWOO,Non Ducted,Single Split System,,2.5,0
DSB-300LHG,DAEWOO,Non Ducted,Single Split System,,2.8,0
DSB-F0987ELH-V,Daewoo,Non Ducted,Single Split System,Wall Hung,0.68,2.75
DSB-F125LHM-DV,DAEWOO,Non Ducted,Single Split System,Wall Hung,0.88,3
DSB-F1287ELH-V,Daewoo,Non Ducted,Single Split System,Wall Hung,0.91,3
DSB-F185LHM-DV,DAEWOO,Non Ducted,Single Split System,Wall Hung,1.54,2
DSB-F1887ELH-V,Daewoo,Non Ducted,Single Split System,Wall Hung,1.504,1.75
DSB-F2287ELH-V,Daewoo,Non Ducted,Single Split System,Wall Hung,1.88,1.5
DSB-F245LHM-DV,DAEWOO,Non Ducted,Single Split System,Wall Hung,2.08,2
DSB-F2687ELH-V,Daewoo,Non Ducted,Single Split System,Wall Hung,2.27,2
DWB-126CH,DAEWOO,Non Ducted,Window Wall,,1.24,0
