Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CP204 AU,DELONGHI,Non Ducted,Single Split System,,0.89,0
CP304 AU,DELONGHI,Non Ducted,Single Split System,,1.24,0
CP404 AU,DELONGHI,Non Ducted,Single Split System,,2.06,0
CP504 AU,DELONGHI,Non Ducted,Single Split System,,2.5,0
CP605 AU,DELONGHI,Non Ducted,Single Split System,,2.7,0
CPC 305 AU,DELONGHI,Non Ducted,Single Split System,,1.35,0
CPC205 AU,DELONGHI,Non Ducted,Single Split System,,0.94,0
CPC206AU,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.74,0
CPC306AU,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.04,0
CPC505 AU,DELONGHI,Non Ducted,Single Split System,,2.25,0
CPI206AU,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.74,0
CPI306AU,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.12,0
CPI406AU,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.7,0
DECON28AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.8,2.25
DECON35AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,1,2
DECON52AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.68,1.75
DECON73AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,2.25,1.75
DECON81AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,2.63,1
DEINV27AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.74,2
DEINV35AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.99,2.5
DEINV52AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.63,1.75
DEINV63AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.97,1.75
DEINV82AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,2.55,1.5
DEINVRC2AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.73,2.25
DEINVRC3AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.98,2.25
DEINVRC5AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,1.59,1.5
DEINVRC7AUP,DELONGHI,Non Ducted,Single Split System,Wall Hung,2.14,1.5
DEINVRC8AUP ,DELONGHI,Non Ducted,Single Split System,Wall Hung,2.46,1.5
DPWIDCL 25E AU,DELONGHI,Non Ducted,Single Split System,,0.96,0
DPWIDCL 35E AU,DELONGHI,Non Ducted,Single Split System,,1.2,0
DPWIDCT 50E AU,DELONGHI,Non Ducted,Single Split System,,1.63,0
DPWIDCT 70E AU,DELONGHI,Non Ducted,Single Split System,,2.54,0
FP 120 AU,DELONGHI,Non Ducted,Single Split System,,0.77,0
FP 130 AU,DELONGHI,Non Ducted,Single Split System,,1.02,0
HPW DC 50E,DELONGHI,Non Ducted,Single Split System,,1.63,0
HPWI DC 35 E,DELONGHI,Non Ducted,Single Split System,,1.1,0
HPWIDC50E,DELONGHI,Non Ducted,Single Split System,,1.63,0
PAC S1000,DELONGHI,Non Ducted,Single Split System,,1.05,0
PAC S1200 HP,DELONGHI,Non Ducted,Single Split System,,0.92,0
PACF400,DELONGHI,Non Ducted,Portable cooler,,1.17,0
PACF400,DELONGHI,Non Ducted,Portable cooler,,1.17,0
PACF410,DELONGHI,Non Ducted,Portable cooler,,1.17,0
QC125 AU,DELONGHI,Non Ducted,Single Split System,,0.83,0
QC126AU,DELONGHI,Non Ducted,Single Split System,Wall Hung,0.83,0
QC135 AU,DELONGHI,Non Ducted,Single Split System,,1.12,0
QC150 AU,DELONGHI,Non Ducted,Single Split System,,1.66,0
