Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DD- 12LNVH,DERBY,Ducted,Single Split System,,4.215,0
DD-11LNVH,DERBY,Ducted,Single Split System,,4.07,0
DD-11LNYH,DERBY,Ducted,Single Split System,,3.812,0
DD-15LNVH,DERBY,Ducted,Single Split System,,5.976,0
DD-17LNVH,DERBY,Ducted,Single Split System,,5.879,0
DD-21.0,DERBY,Ducted,Single Split System,,6.728,0
DD-21.0,DERBY,Ducted,Single Split System,,6.728,0
DD-21LNVH,DERBY,Ducted,Single Split System,,7.759,0
DD-25.0,DERBY,Ducted,Single Split System,,8.199,0
DD-25.0,DERBY,Ducted,Single Split System,,8.19,0
DD-25.0,DERBY,Ducted,Single Split System,,8.19,0
DD-7LNVH,DERBY,Ducted,Single Split System,,2.628,0
DD-8LNVH,DERBY,Ducted,Single Split System,,3.241,0
DD09M12,DERBY,Ducted,Single Split System,,2.95,0
DD10.5R22HR-A,DERBY,Ducted,Single Split System,,3.38,0
DD12.7M12,DERBY,Ducted,Single Split System,,4,0
DD14.0,DERBY,Ducted,Single Split System,,4.64,0
DD14.0,DERBY,Ducted,Single Split System,,4.64,0
DD14LNVH,DERBY,Ducted,Single Split System,,4.932,0
DD14R22HR-A,DERBY,Ducted,Single Split System,,4.49,0
DD15M12,DERBY,Ducted,Single Split System,,4.82,0
DD17M10,DERBY,Ducted,Single Split System,,5.62,0
DD17R22HR-A,DERBY,Ducted,Single Split System,,5.45,0
DD18M12,DERBY,Ducted,Single Split System,,5.95,0
DWM-A26,DERBY,Non Ducted,Single Split System,Wall Hung,0.71,3
DWM-A35,DERBY,Non Ducted,Single Split System,Wall Hung,0.92,3
DWM-A53,DERBY,Non Ducted,Single Split System,Wall Hung,1.57,2
DWM-A65,DERBY,Non Ducted,Single Split System,Wall Hung,1.92,2
DWM-A76,DERBY,Non Ducted,Single Split System,Wall Hung,2.25,2
DWM-B27,DERBY,Non Ducted,Single Split System,Wall Hung,0.72,3
DWM-B35,DERBY,Non Ducted,Single Split System,Wall Hung,0.94,3
DWM-B51,DERBY,Non Ducted,Single Split System,Wall Hung,1.55,2
DWM-B64,DERBY,Non Ducted,Single Split System,Wall Hung,1.94,2
DWM-B83,DERBY,Non Ducted,Single Split System,Wall Hung,2.5,2.25
DWM26HR/GZ,DERBY,Non Ducted,Single Split System,Wall Hung,0.77,0
DWM35HR/GZ,DERBY,Non Ducted,Single Split System,Wall Hung,1.02,0
DWM50HR/GZ,DERBY,Non Ducted,Single Split System,Wall Hung,1.7,0
DWM60HR/GZ,DERBY,Non Ducted,Single Split System,Wall Hung,2.1,0
DWM70HR/GZ,DERBY,Non Ducted,Single Split System,Wall Hung,2.35,0
DWM90HR/GZ,DERBY,Non Ducted,Single Split System,Wall Hung,3.69,0
KFR-26GW/J11,DERBY,Non Ducted,Single Split System,,0.96,0
KFR-35GW/J11,DERBY,Non Ducted,Single Split System,,1.34,0
KFR-45GW/J11,DERBY,Non Ducted,Single Split System,,1.73,0
KFR-60GW/A10,DERBY,Non Ducted,Single Split System,,2.5,0
KFR-70GW/A1,DERBY,Non Ducted,Single Split System,,2.75,0
