Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DAC Mini 12,DIMPLEX,Non Ducted,Portable cooler,,0.98,0
DSAC-12HR,DIMPLEX,Non Ducted,Single Split System,Wall Hung,1.02,0
DSAC-12HRDCI,DIMPLEX,Non Ducted,Single Split System,Wall Hung,1,0
DSAC-21HRACI,DIMPLEX,Non Ducted,Single Split System,Wall Hung,2,0
DSAC-24HR,DIMPLEX,Non Ducted,Single Split System,Wall Hung,2.3,0
DSAC-25H,DIMPLEX,Non Ducted,Single Split System,,0.88,0
DSAC-32H,DIMPLEX,Non Ducted,Single Split System,,1.15,0
DSAC-70H,DIMPLEX,Non Ducted,Single Split System,,2.64,0
DSAC-9HR,DIMPLEX,Non Ducted,Single Split System,Wall Hung,0.81,0
DWAC-09CM,DIMPLEX,Non Ducted,Window Wall,,0.87,0
DWAC-12CM,DIMPLEX,Non Ducted,Window Wall,,1.15,0
DWAC-25C,DIMPLEX,Non Ducted,Window Wall,,1.06,0
