Model No,Brand,Control,Prog Name,Type,New CEC,New Star
CSR-26E,Domain,Non Ducted,Single Split System,Wall Hung,0.72,2.75
CSR-32B,Domain,Non Ducted,Single Split System,Wall Hung,0.91,2.5
CSR-50E,Domain,Non Ducted,Single Split System,Wall Hung,1.5,2
CSR-70E,Domain,Non Ducted,Single Split System,Wall Hung,2.1,2
IWR-26G,Domain,Non Ducted,Single Split System,Wall Hung,0.675,2.75
IWR-35C,Domain,Non Ducted,Single Split System,Wall Hung,1.025,2.25
IWR-35D-IND/IWR-35D-OUT,Domain,Non Ducted,Single Split System,Wall Hung,0.89,2.25
IWR-35G,Domain,Non Ducted,Single Split System,Wall Hung,0.91,3
IWR-50C,Domain,Non Ducted,Single Split System,Wall Hung,1.64,1.75
IWR-50D-IND/IWR-50D-OUT,Domain,Non Ducted,Single Split System,Wall Hung,1.52,1.5
IWR-51G,Domain,Non Ducted,Single Split System,Wall Hung,1.504,2
IWR-60C,Domain,Non Ducted,Single Split System,Wall Hung,2,1.75
IWR-62G ,Domain,Non Ducted,Single Split System,Wall Hung,1.88,1.5
IWR-65D-IND/IWR-65D-OUT,Domain,Non Ducted,Single Split System,Wall Hung,1.95,1.5
IWR-70E,Domain,Non Ducted,Single Split System,Wall Hung,2.08,2
IWR-75G,Domain,Non Ducted,Single Split System,Wall Hung,2.27,2
IWR-80C,Domain,Non Ducted,Single Split System,Wall Hung,2.66,1.25
IWR-80E,Domain,Non Ducted,Single Split System,Wall Hung,2.35,2
