Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DWAI-04HAB,DUNNAIR,Ducted,Packaged,,1.14,0
DWAI-06HAB,DUNNAIR,Ducted,Packaged,,1.6,0
DWAI-08HAB,DUNNAIR,Ducted,Packaged,,2.2,0
DWAI-10HAB,DUNNAIR,Ducted,Packaged,,2.64,0
DWAI-12HAB,DUNNAIR,Ducted,Packaged,,3.12,0
DWAIS04,DUNNAIR,Ducted,Single Split System,,1.13,0
DWAIS06,DUNNAIR,Ducted,Single Split System,,1.62,0
PH 40,DUNNAIR,Ducted,Packaged,,12.8,0
PH 45,DUNNAIR,Ducted,Packaged,,14.5,0
PH 50,DUNNAIR,Ducted,Packaged,,15.9,0
PH 56,DUNNAIR,Ducted,Packaged,,18.4,0
PH10,DUNNAIR,Ducted,Packaged,,3.3,0
PH12,DUNNAIR,Ducted,Packaged,,4.6,0
PH15,DUNNAIR,Ducted,Packaged,,5.6,0
PH20,DUNNAIR,Ducted,Packaged,,6.9,0
PH25,DUNNAIR,Ducted,Packaged,,9.6,0
PH30,DUNNAIR,Ducted,Packaged,,11.4,0
PH35,DUNNAIR,Ducted,Packaged,,12.7,0
PH40,DUNNAIR,Ducted,Packaged,,12.8,0
PH40,DUNNAIR,Ducted,Packaged,,12.8,0
PH45,DUNNAIR,Ducted,Packaged,,15.3,0
PH45,DUNNAIR,Ducted,Packaged,,14.8,0
PH45,DUNNAIR,Ducted,Packaged,,14.8,0
PH50,DUNNAIR,Ducted,Packaged,,18.4,0
PH50,DUNNAIR,Ducted,Packaged,,16.71,0
PH50,DUNNAIR,Ducted,Packaged,,16.71,0
PH56,DUNNAIR,Ducted,Packaged,,19.8,0
PH56,DUNNAIR,Ducted,Packaged,,19.05,0
PH56,DUNNAIR,Ducted,Packaged,,19.05,0
PHE 40,DUNNAIR,Ducted,Packaged,,12.8,0
PHE 45,DUNNAIR,Ducted,Packaged,,14.5,0
