Model No,Brand,Control,Prog Name,Type,New CEC,New Star
EHD-36HRDN1,ECLIPSE,Ducted,Single Split System,,3.3,1.5
ESC-09HRDN1,ECLIPSE,Non Ducted,Single Split System,Wall Hung,0.69,3
ESC-12HRDN1,ECLIPSE,Non Ducted,Single Split System,Wall Hung,0.88,3
ESC-18HRDN1,ECLIPSE,Non Ducted,Single Split System,Wall Hung,1.54,2
ESC-21HRDN1,ECLIPSE,Non Ducted,Single Split System,Wall Hung,1.85,2
ESC-24HRDN1,ECLIPSE,Non Ducted,Single Split System,Wall Hung,2.08,2
ESC-28HRDN1,ECLIPSE,Non Ducted,Single Split System,Wall Hung,2.46,2
EV15,ECLIPSE,Ducted,Single Split System,,4.9,0
EV18 - EP18,ECLIPSE,Ducted,Single Split System,,6,0
EV20 - EP20,ECLIPSE,Ducted,Single Split System,,5.9,0
EV22 - EP22,ECLIPSE,Ducted,Single Split System,,6.3,0
EV24 - EP24,ECLIPSE,Ducted,Single Split System,,7.8,0
EWF-07HRN1,ECLIPSE,Non Ducted,Window Wall,,0.68,2
EWF-09HRN1,ECLIPSE,Non Ducted,Window Wall,,0.84,2
EWF-12HRN1,ECLIPSE,Non Ducted,Window Wall,,1.15,2
EWF-18HRN1,ECLIPSE,Non Ducted,Window Wall,,1.59,2
H335,ECLIPSE,Ducted,Single Split System,,3.9,0
S14,ECLIPSE,Ducted,Single Split System,,3.6,0
S14ESL,ECLIPSE,Ducted,Single Split System,,4.1,0
S15,ECLIPSE,Ducted,Single Split System,,4.7,0
S15ESL,ECLIPSE,Ducted,Single Split System,,4.8,0
S16,ECLIPSE,Ducted,Single Split System,,5.4,0
S16ESL,ECLIPSE,Ducted,Single Split System,,5.4,0
S17,ECLIPSE,Ducted,Single Split System,,5.6,0
S17ESL,ECLIPSE,Ducted,Single Split System,,5.5,0
S18,ECLIPSE,Ducted,Single Split System,,6,0
S18ESL,ECLIPSE,Ducted,Single Split System,,6,0
T14,ECLIPSE,Ducted,Single Split System,,3.5,0
T14ESL,ECLIPSE,Ducted,Single Split System,,3.5,0
T15,ECLIPSE,Ducted,Single Split System,,4.5,0
T15ESL,ECLIPSE,Ducted,Single Split System,,4.5,0
T16,ECLIPSE,Ducted,Single Split System,,4.9,0
T16ESL,ECLIPSE,Ducted,Single Split System,,5,0
T17,ECLIPSE,Ducted,Single Split System,,5,0
T17ESL,ECLIPSE,Ducted,Single Split System,,5.6,0
T18,ECLIPSE,Ducted,Single Split System,,5.4,0
T18ESL,ECLIPSE,Ducted,Single Split System,,5.6,0
T22,ECLIPSE,Ducted,Single Split System,,7.2,0
T22ESL,ECLIPSE,Ducted,Single Split System,,6.9,0
T24,ECLIPSE,Ducted,Single Split System,,7,0
T24ESL,ECLIPSE,Ducted,Single Split System,,7.1,0
T28,ECLIPSE,Ducted,Single Split System,,8.9,0
T32,ECLIPSE,Ducted,Single Split System,,10.2,0
T36,ECLIPSE,Ducted,Single Split System,,11.5,0
V3100,ECLIPSE,Ducted,Single Split System,,8.97,0
V350,ECLIPSE,Ducted,Single Split System,,4.94,0
V360,ECLIPSE,Ducted,Single Split System,,5.63,0
V370,ECLIPSE,Ducted,Single Split System,,5.85,0
V375,ECLIPSE,Ducted,Single Split System,,6.64,0
V380,ECLIPSE,Ducted,Single Split System,,7.73,0
V390,ECLIPSE,Ducted,Single Split System,,8.8,0
