Model No,Brand,Control,Prog Name,Type,New CEC,New Star
EE/EC26HS6,ECONAIR,Non Ducted,Single Split System,Wall Hung,0.765,0
EE/EC33HS6,ECONAIR,Non Ducted,Single Split System,Wall Hung,0.94,0
EE/EC59HS6,ECONAIR,Non Ducted,Single Split System,Wall Hung,1.95,0
EE/EC68HS6,ECONAIR,Non Ducted,Single Split System,Wall Hung,2.3,0
EE/EC80HS6,ECONAIR,Non Ducted,Single Split System,Wall Hung,2.7,0
EE25HS3/EC25HS3,ECONAIR,Non Ducted,Single Split System,,0.88,0
EE35HS3/EC35HS3,ECONAIR,Non Ducted,Single Split System,,1.26,0
EE50HS3/EC50HS3,ECONAIR,Non Ducted,Window Wall,,1.95,0
EE60HS3/EC60HS3,ECONAIR,Non Ducted,Single Split System,,2.75,0
EE85HS4/EC85HS4,ECONAIR,Non Ducted,Single Split System,,3.3,0
