Model No,Brand,Control,Prog Name,Type,New CEC,New Star
EMAILAIR GS/CGS058HA,ELECTRA,Non Ducted,Single Split System,,2.2,0
EMAILAIR MAY70,ELECTRA,Non Ducted,Window Wall,,0.77,0
EMAILAIR MAY90RCE,ELECTRA,Non Ducted,Window Wall,,1.01,0
EMAILAIR WS/CWS026CA,ELECTRA,Non Ducted,Single Split System,,1,0
EMAILAIR WS/CWS034HA,ELECTRA,Non Ducted,Single Split System,,1.25,0
EMAILAIR WS/CWS042HA,ELECTRA,Non Ducted,Single Split System,,1.64,0
EMAILAIR WS/CWS053CB,ELECTRA,Non Ducted,Single Split System,,1.95,0
EMAILAIR WS/CWS053HB,ELECTRA,Non Ducted,Single Split System,,1.94,0
EMAILAIR WS/CWS066C,ELECTRA,Non Ducted,Single Split System,,2.53,0
EMAILAIR WS/CWS066CB,ELECTRA,Non Ducted,Single Split System,,2.4,0
EMAILAIR WS/CWS066H,ELECTRA,Non Ducted,Single Split System,,2.65,0
EMAILAIR WS/CWS066HB,ELECTRA,Non Ducted,Single Split System,,2.45,0
KC-20M,ELECTRA,Non Ducted,Window Wall,,0.77,0
KCR-25E,ELECTRA,Non Ducted,Window Wall,,1.01,0
PRX500RC,ELECTRA,Non Ducted,Single Split System,,2.2,0
PRX600RC,ELECTRA,Non Ducted,Single Split System,,2.65,0
PXD12RC,ELECTRA,Non Ducted,Single Split System,,1.26,0
PXD18RC,ELECTRA,Non Ducted,Single Split System,,2.3,0
PXD24RC,ELECTRA,Non Ducted,Single Split System,,2.71,0
WMF12RC,ELECTRA,Non Ducted,Single Split System,,1.16,0
WMF7RC,ELECTRA,Non Ducted,Single Split System,,0.75,0
WMF9RC,ELECTRA,Non Ducted,Single Split System,,0.99,0
WMN12RCA,ELECTRA,Non Ducted,Single Split System,,1.25,0
WMN12STA,ELECTRA,Non Ducted,Single Split System,,1.3,0
WMN16RCA,ELECTRA,Non Ducted,Single Split System,,1.64,0
WMN18RCA,ELECTRA,Non Ducted,Single Split System,,1.85,0
WMN18RCB,ELECTRA,Non Ducted,Single Split System,,1.94,0
WMN18STA,ELECTRA,Non Ducted,Single Split System,,1.85,0
WMN18STB,ELECTRA,Non Ducted,Single Split System,,1.95,0
WMN24RC,ELECTRA,Non Ducted,Single Split System,,2.53,0
WMN24RCB,ELECTRA,Non Ducted,Single Split System,,2.45,0
WMN24ST,ELECTRA,Non Ducted,Single Split System,,2.53,0
WMN24STB,ELECTRA,Non Ducted,Single Split System,,2.4,0
WMN9RCA,ELECTRA,Non Ducted,Single Split System,,1,0
WMN9STA,ELECTRA,Non Ducted,Single Split System,,1,0
WS/CWS026HA,ELECTRA,Non Ducted,Single Split System,,1,0
