Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ESD09HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.78,0
ESD12HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.07,0
ESD24HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.27,0
ESD30HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,3.13,0
ESE09CRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.765,0
ESE09HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,0.88,0
ESE09HRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,0.81,0
ESE12CRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,1.07,0
ESE12CRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.04,0
ESE12HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,1.04,0
ESE12HRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.04,0
ESE12HRBA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,1.04,0
ESE18HRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,1.7,0
ESE21CRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.36,0
ESE21HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.38,0
ESE21HRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.07,0
ESE24CRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.67,0
ESE24CRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.39,0
ESE24HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.74,0
ESE24HRB,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,2.38,0
ESE24HRBA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.74,0
ESE30CRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,3.12,0
ESE30CRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,3.12,0
ESE30HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,3.36,0
ESE30HRA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,Wall Hung,3.36,0
ESE30HRBA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,3.43,0
ESG09HRIA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,1.09,0
ESG12HRIA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,1.32,0
ESG21HRIA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.51,0
ESU12HRCA,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,1.07,0
EWH05CMA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,0.65,0
EWH05CMB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.55,0
EWH07CMA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,0.75,0
EWH07CMB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.75,0
EWH07HMA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,0.76,0
EWH07HMB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.8,0
EWH09CRB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.85,0
EWH09HRB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,0.93,0
EWH12CRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.31,0
EWH12CRB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,1.14,0
EWH12HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.29,0
EWH12HRB,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,Wall Hung,1.16,0
EWH16HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.63,0
EWH18CRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.88,0
EWH18HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.85,0
EWH21CRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,2.35,0
EWH21HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,2.42,0
EWJ16CRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.61,0
EWJ16HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.56,0
EWJ18CRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.78,0
EWJ18HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.74,0
EWJ21CRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,2.07,0
EWJ21HRA,ELECTROLUX-KELVINATOR,Non Ducted,Window Wall,,1.99,0
KSR24H,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.746,0
KSR27IH,ELECTROLUX-KELVINATOR,Non Ducted,Single Split System,,2.614,0
