Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ELEXA-09HR,ELEXA,Non Ducted,Single Split System,,0.96,0
ELEXA-09HRI,ELEXA,Non Ducted,Single Split System,,1.1,0
ELEXA-09M,ELEXA,Non Ducted,Single Split System,Wall Hung,0.77,0
ELEXA-12HR,ELEXA,Non Ducted,Single Split System,,1.2,0
ELEXA-12HRDN1,ELEXA,Non Ducted,Single Split System,Wall Hung,1.1,0
ELEXA-12HRI,ELEXA,Non Ducted,Single Split System,,1.3,0
ELEXA-12M,ELEXA,Non Ducted,Single Split System,Wall Hung,1.05,0
ELEXA-18HR,ELEXA,Non Ducted,Single Split System,,1.9,0
ELEXA-18M,ELEXA,Non Ducted,Single Split System,Wall Hung,1.7,0
ELEXA-21HR,ELEXA,Non Ducted,Single Split System,,2.5,0
ELEXA-21HRI,ELEXA,Non Ducted,Single Split System,,2.45,0
ELEXA-21M,ELEXA,Non Ducted,Single Split System,Wall Hung,2.1,0
ELEXA-24HR,ELEXA,Non Ducted,Single Split System,,2.8,0
ELEXA-24M,ELEXA,Non Ducted,Single Split System,Wall Hung,2.3,0
