Model No,Brand,Control,Prog Name,Type,New CEC,New Star
May-70,EMAILAIR,Non Ducted,Window Wall,,0.77,0
ELECTRA KC-20M,EMAILAIR,Non Ducted,Window Wall,,0.77,0
ELECTRA KCR-25E,EMAILAIR,Non Ducted,Window Wall,,1.01,0
ELECTRA PRX500RC,EMAILAIR,Non Ducted,Single Split System,,2.65,0
ELECTRA WMN12RCA,EMAILAIR,Non Ducted,Single Split System,,1.25,0
ELECTRA WMN16RCA,EMAILAIR,Non Ducted,Single Split System,,1.64,0
ELECTRA WMN9RCA,EMAILAIR,Non Ducted,Single Split System,,1,0
ELECTRA WMN9STA,EMAILAIR,Non Ducted,Single Split System,,1,0
GS/CGS058HA,EMAILAIR,Non Ducted,Single Split System,,2.2,0
GS/CGS069HA,EMAILAIR,Non Ducted,Single Split System,,2.65,0
MAY90RCE,EMAILAIR,Non Ducted,Window Wall,,1.01,0
WS/CWS026CA,EMAILAIR,Non Ducted,Single Split System,,1,0
WS/CWS026HA,EMAILAIR,Non Ducted,Single Split System,,1,0
WS/CWS034HA,EMAILAIR,Non Ducted,Single Split System,,1.25,0
WS/CWS042HA,EMAILAIR,Non Ducted,Single Split System,,1.64,0
WS/CWS053CB,EMAILAIR,Non Ducted,Single Split System,,1.95,0
WS/CWS053HA,EMAILAIR,Non Ducted,Single Split System,,1.85,0
WS/CWS053HB,EMAILAIR,Non Ducted,Single Split System,,1.94,0
WS/CWS066C,EMAILAIR,Non Ducted,Single Split System,,2.53,0
WS/CWS066CB,EMAILAIR,Non Ducted,Single Split System,,2.4,0
WS/CWS066CB,EMAILAIR,Non Ducted,Single Split System,,2.4,0
WS/CWS066CC,EMAILAIR,Non Ducted,Single Split System,,2.4,0
WS/CWS066H,EMAILAIR,Non Ducted,Single Split System,,2.53,0
WS/CWS066HB,EMAILAIR,Non Ducted,Single Split System,,2.45,0
WS088H,EMAILAIR,Non Ducted,Single Split System,,3.4,0
WS100H,EMAILAIR,Non Ducted,Single Split System,,4,0
