Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AHU-100R/LCU-100R,Emerald by Dunnair,Ducted,Single Split System,,9.16,0
AHU-120R/LCU-120R,Emerald by Dunnair,Ducted,Single Split System,,11.06,0
AHU-24R/LCU-24R,Emerald by Dunnair,Ducted,Single Split System,,2.376,0
AHU-36R/LCU-36R,Emerald by Dunnair,Ducted,Single Split System,,3.56,0
AHU-42R/LCU-42R,Emerald by Dunnair,Ducted,Single Split System,,4.159,0
AHU-48R/LCU-48R,Emerald by Dunnair,Ducted,Single Split System,,4.78,0
AHU-60R/LCU-60R,Emerald by Dunnair,Ducted,Single Split System,,5.94,0
AHU-75R/LCU-75R,Emerald by Dunnair,Ducted,Single Split System,,6.83,0
AHU-90R/LCU-90R,Emerald by Dunnair,Ducted,Single Split System,,8.35,0
RTU-100R,Emerald by Dunnair,Ducted,Packaged,,9.39,0
RTU-120R,Emerald by Dunnair,Ducted,Packaged,,11.07,0
RTU-30R,Emerald by Dunnair,Ducted,Packaged,,2.99,0
RTU-36R,Emerald by Dunnair,Ducted,Packaged,,3.6,0
RTU-42R,Emerald by Dunnair,Ducted,Packaged,,4.19,0
RTU-48R,Emerald by Dunnair,Ducted,Packaged,,4.78,0
RTU-60R,Emerald by Dunnair,Ducted,Packaged,,6,0
RTU-72R,Emerald by Dunnair,Ducted,Packaged,,6.74,0
RTU-90R,Emerald by Dunnair,Ducted,Packaged,,8.37,0
