Model No,Brand,Control,Prog Name,Type,New CEC,New Star
1FE1007N6F-AN / 1FC1007N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.73,0
1FE1007N6F-AN/1FC1007N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.73,0
1FE1009N6F-AN / 1FC1009N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.92,0
1FE1009N6F-AN/1FC1009N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.92,0
1FE1012N6F-AN / 1FC1012N6F-AN,FEDDERS,Non Ducted,Single Split System,,1.23,0
1FE1012N6F-AN/1FC1012N6F-AN,FEDDERS,Non Ducted,Single Split System,,1.23,0
1FE1076B-AN/1FC1076B-AN,FEDDERS,Non Ducted,Single Split System,,0.68,0
1FE1096B-AN/1FC1096B-AN,FEDDERS,Non Ducted,Single Split System,,0.92,0
1FE1126B-AN/1FC1126B-AN,FEDDERS,Non Ducted,Single Split System,,1.25,0
1FE418N6C-AN/1FC418N6G-AN,FEDDERS,Non Ducted,Single Split System,,2,0
1FE418N6D-AN / 1FC418N6G-AN,FEDDERS,Non Ducted,Single Split System,,2,0
1FE418N6D-AN/1FC418N6G-AN,FEDDERS,Non Ducted,Single Split System,,2,0
1FE424N6C-AN/1FC424N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.76,0
1FE424N6D-AN/1FC424N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.58,0
1FH418U6A-AN/1FC418N6E-AN,FEDDERS,Non Ducted,Single Split System,,1.94,0
1FH424U6A-AN/1FC424N6E-AN,FEDDERS,Non Ducted,Single Split System,,2.79,0
1FY107N6A-AN,FEDDERS,Non Ducted,Single Split System,,0.83,0
1FY109N6A-AN,FEDDERS,Non Ducted,Window Wall,,1.09,0
1FY212N6A-AN,FEDDERS,Non Ducted,Window Wall,,1.38,0
1FY318N6A-AN,FEDDERS,Non Ducted,Window Wall,,2.09,0
1FY318N6A-AN,FEDDERS,Non Ducted,Window Wall,,1.98,0
1FY318N6A-AN,FEDDERS,Non Ducted,Window Wall,,1.98,0
1FY324N6A-AN,FEDDERS,Non Ducted,Window Wall,,2.75,0
1FYX06N6A,FEDDERS,Non Ducted,Window Wall,,0.58,0
2FY2007I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.76,0
2FY2007I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.76,0
2FY2009I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.98,0
2FY2009I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.98,0
2FY2012I6L-AN,FEDDERS,Non Ducted,Window Wall,,1.3,0
2FY2012I6L-AN,FEDDERS,Non Ducted,Window Wall,,1.3,0
2FYX06N6A-AN,FEDDERS,Non Ducted,Window Wall,,0.64,0
HFE1007N6F-AN / HFC1007N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.73,0
HFE1007N6F-AN/HFC1007N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.73,0
HFE1009N6F-AN / HFC1009N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.98,0
HFE1009N6F-AN/HFC1009N6F-AN,FEDDERS,Non Ducted,Single Split System,,0.98,0
HFE1012N6F-AN / HFC1012N6F-AN,FEDDERS,Non Ducted,Single Split System,,1.27,0
HFE1012N6F-AN/HFC1012N6F-AN,FEDDERS,Non Ducted,Single Split System,,1.27,0
HFE1076B-AN/HFC1076B-AN,FEDDERS,Non Ducted,Single Split System,,0.67,0
HFE1096B-AN/HFC1096B-AN,FEDDERS,Non Ducted,Single Split System,,0.93,0
HFE1126B-AN/HFC1126B-AN,FEDDERS,Non Ducted,Single Split System,,1.14,0
HFE418N6C-AN/HFC418N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.08,0
HFE418N6D-AN / HFC418N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.08,0
HFE418N6D-AN/HFC418N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.08,0
HFE424N6C-AN/HFC424N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.76,0
HFE424N6D-AN / HFC424N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.5,0
HFE424N6D-AN/HFC424N6G-AN,FEDDERS,Non Ducted,Single Split System,,2.5,0
HFH418U6A-AN/HFC418N6E-AN,FEDDERS,Non Ducted,Single Split System,,1.95,0
HFH424U6A-AN/HFC424N6E-AN,FEDDERS,Non Ducted,Single Split System,,2.81,0
HFY107N6A-AN,FEDDERS,Non Ducted,Window Wall,,0.83,0
HFY109N6A-AN,FEDDERS,Non Ducted,Window Wall,,1.08,0
HFY212N6A-AN,FEDDERS,Non Ducted,Window Wall,,1.42,0
HFY318N6A-AN,FEDDERS,Non Ducted,Window Wall,,2.08,0
HFY318N6A-AN,FEDDERS,Non Ducted,Window Wall,,2.08,0
HFY324N6A-AN,FEDDERS,Non Ducted,Window Wall,,2.75,0
HFY324N6A-AN,FEDDERS,Non Ducted,Window Wall,,2.75,0
JFY2007I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.76,0
JFY2007I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.76,0
JFY2009I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.98,0
JFY2009I6L-AN,FEDDERS,Non Ducted,Window Wall,,0.98,0
JFY2012I6L-AN,FEDDERS,Non Ducted,Window Wall,,1.3,0
JFY2012I6L-AN,FEDDERS,Non Ducted,Window Wall,,1.3,0
