Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AUS-07HR53FA2,FROSTAIR,Non Ducted,Single Split System,,0.79,0
AUS-07HR53FA2,FROSTAIR,Non Ducted,Single Split System,,0.79,0
AUS-09HR53FA2,FROSTAIR,Non Ducted,Single Split System,,0.92,0
AUS-09HR53FA2,FROSTAIR,Non Ducted,Single Split System,,0.92,0
AUS-12HR53FA2,FROSTAIR,Non Ducted,Single Split System,,1.3,0
AUS-12HR53FA2,FROSTAIR,Non Ducted,Single Split System,,1.3,0
AUS-18HR53FA2,FROSTAIR,Non Ducted,Single Split System,,1.96,0
AUS-18HR53FA2,FROSTAIR,Non Ducted,Single Split System,,1.96,0
AUS-24HR53FA2,FROSTAIR,Non Ducted,Single Split System,,2.5,0
AUS-24HR53FA2,FROSTAIR,Non Ducted,Single Split System,,2.5,0
