Model No,Brand,Control,Prog Name,Type,New CEC,New Star
FSC-09HRDN1,FUJIAIR,Non Ducted,Single Split System,Wall Hung,0.8,0
FSC-09HRN1,FUJIAIR,Non Ducted,Single Split System,,0.82,0
FSC-09HRN1-QC4,FUJIAIR,Non Ducted,Single Split System,Wall Hung,0.78,0
FSC-12HRDN1,FUJIAIR,Non Ducted,Single Split System,,1,0
FSC-12HRDN1,FUJIAIR,Non Ducted,Single Split System,Wall Hung,1,0
FSC-12HRN1,FUJIAIR,Non Ducted,Single Split System,,1.05,0
FSC-12HRN1-QC2,FUJIAIR,Non Ducted,Single Split System,Wall Hung,1.05,0
FSC-18HRIN1,FUJIAIR,Non Ducted,Single Split System,,1.7,0
FSC-18HRN1,FUJIAIR,Non Ducted,Single Split System,,1.7,0
FSC-18HRN1-QB9,FUJIAIR,Non Ducted,Single Split System,Wall Hung,1.65,0
FSD - 12N/A2214,FUJIAIR,Non Ducted,Single Split System,Wall Hung,0.995,0
FSD - 12Q/A2214,FUJIAIR,Non Ducted,Single Split System,Wall Hung,0.995,0
FSD - 12Y3/A2214,FUJIAIR,Non Ducted,Single Split System,Wall Hung,0.995,0
FSD - 18Y3,FUJIAIR,Non Ducted,Single Split System,Wall Hung,1.65,0
KFR-25GW/Xc,FUJIAIR,Non Ducted,Single Split System,,0.94,0
KFR-25GW/XDc,FUJIAIR,Non Ducted,Single Split System,,0.94,0
KFR-30GW/XBPc,FUJIAIR,Non Ducted,Single Split System,,1.18,0
KFR-35GW/Xc,FUJIAIR,Non Ducted,Single Split System,,1.44,0
KFR-35GW/XDc,FUJIAIR,Non Ducted,Single Split System,,1.44,0
KFR-51GW/BPc,FUJIAIR,Non Ducted,Single Split System,,2.09,0
MSC-09HRN1,FUJIAIR,Non Ducted,Single Split System,,0.82,0
