Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ABT14RGA-W/AOT14RNH,FUJITSU GENERAL,Non Ducted,Single Split System,,1.76,0
ABT18RGA-W/AOT18RZAL,FUJITSU GENERAL,Non Ducted,Single Split System,,2.24,0
ABT24AGA-W/AOT24ABA,FUJITSU GENERAL,Non Ducted,Single Split System,,2.77,0
ABT24AGC-W/AOT24ANB,FUJITSU GENERAL,Non Ducted,Single Split System,,2.76,0
AFT16AAM-W,FUJITSU GENERAL,Non Ducted,Window Wall,,1.9,0
AFT16RAM-W,FUJITSU GENERAL,Non Ducted,Window Wall,,1.98,0
AKT7AAG-W,FUJITSU GENERAL,Non Ducted,Window Wall,,0.81,0
AKT9AEN-W,FUJITSU GENERAL,Non Ducted,Window Wall,,1,0
AKT9RCS-W,FUJITSU GENERAL,Non Ducted,Single Split System,,1,0
ALT22RDS-W,FUJITSU GENERAL,Non Ducted,Window Wall,,2.3,0
AMT13RAM-W,FUJITSU GENERAL,Non Ducted,Single Split System,,1.6,0
AMTI3 AAM-W,FUJITSU GENERAL,Non Ducted,Window Wall,,1.57,0
ART25RLA/AOT25RZAL,FUJITSU GENERAL,Non Ducted,Single Split System,,2.86,0
ART9RLB/AOT9RGA,FUJITSU GENERAL,Non Ducted,Single Split System,,0.92,0
AST12ASECW/AOT12ASEC,FUJITSU GENERAL,Non Ducted,Single Split System,,1.36,0
AST12RSHCW/AOT12RSHC,FUJITSU GENERAL,Non Ducted,Single Split System,,1.36,0
AST17 ASK-W/AOTI7ANA,FUJITSU GENERAL,Non Ducted,Single Split System,,2.2,0
AST17RSK-W/AOT17RNA,FUJITSU GENERAL,Non Ducted,Single Split System,,2.15,0
AST20AGB-W/AOT20ANA,FUJITSU GENERAL,Non Ducted,Single Split System,,2.25,0
AST24RGB-W/AOT24RNAL/AOT24RNCLST24RGB-W/A,FUJITSU GENERAL,Non Ducted,Single Split System,,2.61,0
AST9ASECW/AOT9ANEC,FUJITSU GENERAL,Non Ducted,Single Split System,,1.06,0
AST9RSHCW/AOT9RSHC,FUJITSU GENERAL,Non Ducted,Single Split System,,1.07,0
AUT12AGA/AOT12AZAL,FUJITSU GENERAL,Non Ducted,Single Split System,,1.37,0
AUT12RGA/AOT12RZAL,FUJITSU GENERAL,Non Ducted,Single Split System,,1.37,0
AUT14RGA/AOT14RZAL,FUJITSU GENERAL,Non Ducted,Single Split System,,1.62,0
AUT18RGA/AOT18RZCL,FUJITSU GENERAL,Non Ducted,Single Split System,,2.01,0
AUT25ALC-W/AOT25AZCL,FUJITSU GENERAL,Non Ducted,Single Split System,,2.75,0
AUT25RLC-W/AOT25RZCL,FUJITSU GENERAL,Non Ducted,Single Split System,,2.8,0
AUT25RLC/AOT25RZAL,FUJITSU GENERAL,Non Ducted,Single Split System,,2.86,0
AXT22ADS-W,FUJITSU GENERAL,Non Ducted,Window Wall,,2.35,0
AXT24AAN-W,FUJITSU GENERAL,Non Ducted,Window Wall,,2.95,0
