Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ABT14RBA-W/AOT14RGJ,FUJITSU,Non Ducted,Single Split System,,1.76,0
ABT14RGA-W,FUJITSU,Ducted,Single Split System,,1.76,0
ABT18LBAJ,FUJITSU,Non Ducted,Single Split System,Floor/Ceiling,1.7,0
ABT18RBA-W/AOT18RNEL,FUJITSU,Non Ducted,Single Split System,,1.91,0
ABT24ABA-W/AOT24ANF,FUJITSU,Non Ducted,Single Split System,,2.76,0
ABT24LBAJ,FUJITSU,Non Ducted,Single Split System,,2.77,0
ABT24LBBJ,FUJITSU,Non Ducted,Single Split System,Floor/Ceiling,2.15,0
ABT24RBA-W,FUJITSU,Non Ducted,Single Split System,,2.65,0
ABT24RGA-W/AOT24RZBL,FUJITSU,Non Ducted,Single Split System,,2.77,0
ABT24RGC-W,FUJITSU,Non Ducted,Single Split System,,2.65,0
ABT30AGA-W,FUJITSU,Ducted,Single Split System,,3.45,0
ABT30RBA-W,FUJITSU,Non Ducted,Single Split System,,3.35,0
ABT30RBA-W/AOT30RMCL,FUJITSU,Non Ducted,Single Split System,,3.35,0
ABT30RGA-W,FUJITSU,Ducted,Single Split System,,3.55,0
ABT30UBAG,FUJITSU,Non Ducted,Single Split System,,3.12,0
ABT30UBAG,FUJITSU,Non Ducted,Single Split System,Under ceiling,3.12,0
ABT36ABA3W,FUJITSU,Non Ducted,Single Split System,,3.8,0
ABT36AGA3W,FUJITSU,Ducted,Packaged,,3.8,0
ABT36AGC3W,FUJITSU,Ducted,Packaged,,3.9,0
ABT36RBA3W,FUJITSU,Non Ducted,Single Split System,,4.1,0
ABT36RBA3W/AOT36RPA3L,FUJITSU,Ducted,Single Split System,,4.1,0
ABT36RGA3W,FUJITSU,Ducted,Packaged,,3.95,0
ABT36RGC3W,FUJITSU,Ducted,Packaged,,4.05,0
ABT36UBAG,FUJITSU,Non Ducted,Single Split System,,3.55,0
ABT36UBAG,FUJITSU,Non Ducted,Single Split System,Under ceiling,3.55,0
ABT45ABA3W,FUJITSU,Non Ducted,Single Split System,,4.45,0
ABT45ABA3W/AOT45APA3L,FUJITSU,Non Ducted,Single Split System,,4.45,0
ABT45AGA3W,FUJITSU,Ducted,Packaged,,4.57,0
ABT45RBA3W,FUJITSU,Non Ducted,Single Split System,,4.45,0
ABT45RBA3W/AOT45RPA3L,FUJITSU,Non Ducted,Single Split System,,4.45,0
ABT45RGA3W,FUJITSU,Ducted,Packaged,,4.57,0
ABT45UBAG,FUJITSU,Non Ducted,Single Split System,,4.38,0
ABT45UBAG,FUJITSU,Non Ducted,Single Split System,Under ceiling,4.38,0
ABT54ABA3W,FUJITSU,Non Ducted,Single Split System,,5.25,0
ABT54AGA3W,FUJITSU,Ducted,Packaged,,5.25,0
ABT54RBA3W,FUJITSU,Non Ducted,Single Split System,,5.25,0
ABT54RBA3W/AOT54RPA3L,FUJITSU,Non Ducted,Single Split System,,5.25,0
ABT54RGA3W,FUJITSU,Ducted,Packaged,,5.25,0
ABT54UBAG,FUJITSU,Non Ducted,Single Split System,,5.23,0
ABT54UBAG,FUJITSU,Non Ducted,Single Split System,Under ceiling,5.23,0
ABTA30LBT,FUJITSU,Non Ducted,Single Split System,Under ceiling,2.57,2.25
ABTA30LBT,FUJITSU,Non Ducted,Single Split System,Under ceiling,2.57,2.25
ABTA36LAT,FUJITSU,Non Ducted,Single Split System,Under ceiling,3.11,2
ABTA36LAT,FUJITSU,Non Ducted,Single Split System,Under ceiling,3.11,2
ABTA45LAT,FUJITSU,Non Ducted,Single Split System,Under ceiling,3.89,2
ABTA45LAT,FUJITSU,Non Ducted,Single Split System,Under ceiling,3.56,1.75
ABTA54LCTU,Fujitsu,Non Ducted,Single Split System,Under ceiling,4.65,1.5
ABTA54LCTU,FUJITSU,Non Ducted,Single Split System,Under ceiling,4.65,0
ABTF18LAT,FUJITSU,Non Ducted,Single Split System,Floor/Ceiling,1.62,2.25
ABTF18LAT,Fujitsu,Non Ducted,Single Split System,Floor/Ceiling,1.62,2.25
ABTF24LAT,FUJITSU,Non Ducted,Single Split System,Floor/Ceiling,2.28,1.75
ABTF24LAT,Fujitsu,Non Ducted,Single Split System,Floor/Ceiling,2.28,1.75
ABTG18LVTA/AOTG18LACC,FUJITSU,Non Ducted,Single Split System,Floor/Ceiling,1.51,2.25
ABTG24LVTC/AOTG24LATC,FUJITSU,Non Ducted,Single Split System,Floor/Ceiling,2.14,2.25
ABTG54LRTA,FUJITSU,Non Ducted,Single Split System,Under ceiling,4.34,0
AFT13FAS-W,FUJITSU,Non Ducted,Window Wall,,1.43,0
AFT16AAN-W,FUJITSU,Non Ducted,Window Wall,,1.9,0
AFT16FAN-W,FUJITSU,Non Ducted,Window Wall,,1.8,0
AFT16RAN-W,FUJITSU,Non Ducted,Window Wall,,1.98,0
AFT16UAN-W,FUJITSU,Non Ducted,Window Wall,,1.85,0
AGTV09LAC,FUJITSU,Non Ducted,Single Split System,Floor Mounted,0.6,3.5
AGTV14LAC,FUJITSU,Non Ducted,Single Split System,Floor Mounted,1.22,2.25
AJT040LCLAH,FUJITSU,Non Ducted,Multiple split - VRF,,3.53,0
AJT045LCLAH,FUJITSU,Non Ducted,Multiple split - VRF,,4.33,0
AJT054LCLAH,FUJITSU,Non Ducted,Multiple split - VRF,,4.7,0
AJT108GALH,FUJITSU,Non Ducted,Multiple split - VRF,,10.36,0
AJT126GALH,FUJITSU,Non Ducted,Multiple split - VRF,,13.37,0
AJTA72GALH,FUJITSU,Non Ducted,Multiple split - VRF,,6.36,0
AJTA90GALH,FUJITSU,Non Ducted,Multiple split - VRF,,8.64,0
AJY126LALH,FUJITSU,Non Ducted,Multiple split - VRF,,12.37,0
AJYA36LALH,FUJITSU,Non Ducted,Multiple split - VRF,,2.88,0
AJYA45LALH,FUJITSU,Non Ducted,Multiple split - VRF,,3.99,0
AJYA54LALH,FUJITSU,Non Ducted,Multiple split - VRF,,4.6,0
AJYA72LALH,FUJITSU,Non Ducted,Multiple split - VRF,,5.67,0
AJYA90LALH,FUJITSU,Non Ducted,Multiple split - VRF,,7.96,0
AKT7AAR-W,FUJITSU,Non Ducted,Window Wall,,0.79,0
AKT7ABRSW,FUJITSU,Non Ducted,Window Wall,,0.8,0
AKT7ABRSW,FUJITSU,Non Ducted,Window Wall,,0.8,0
AKT7AGS-W,FUJITSU,Non Ducted,Window Wall,,0.81,0
AKT7FASSW,FUJITSU,Non Ducted,Window Wall,,0.86,0
AKT7RARSW,FUJITSU,Non Ducted,Window Wall,,0.8,0
AKT7RARSW,FUJITSU,Non Ducted,Window Wall,,0.8,0
AKT7UASSW,FUJITSU,Non Ducted,Window Wall,,0.92,0
AKT9AAR-W,FUJITSU,Non Ducted,Window Wall,,0.95,0
AKT9ABRSW,FUJITSU,Non Ducted,Window Wall,,0.95,0
AKT9ABRSW,FUJITSU,Non Ducted,Window Wall,,0.95,0
AKT9AGN-W,FUJITSU,Non Ducted,Window Wall,,1,0
AKT9FBSSW,FUJITSU,Non Ducted,Window Wall,,1.06,0
AKT9RAR-W,FUJITSU,Non Ducted,Window Wall,,0.94,0
AKT9RBRSW,FUJITSU,Non Ducted,Window Wall,,0.98,0
AKT9RBRSW,FUJITSU,Non Ducted,Window Wall,,0.98,0
AKT9RGS-W,FUJITSU,Non Ducted,Window Wall,,1,0
AKT9UBSSW,FUJITSU,Non Ducted,Window Wall,,1.12,0
AKTAGG-W,FUJITSU,Non Ducted,Window Wall,,0.81,0
ALT22RAN-W,FUJITSU,Non Ducted,Window Wall,,2.38,0
AMT13RAR-W,FUJITSU,Non Ducted,Window Wall,,1.5,0
AMT13UAS-W,FUJITSU,Non Ducted,Window Wall,,1.46,0
AOT14AGDC,FUJITSU,Non Ducted,Single Split System,,1.58,0
AOT14RGDC,FUJITSU,Non Ducted,Single Split System,,1.55,0
AOT24RNEL,FUJITSU,Non Ducted,Single Split System,,2.66,0
AOTG24LAT3,FUJITSU,Non Ducted,Multiple split - Fixed head,,1.94,0
AOTG24LAT3,FUJITSU,Non Ducted,Multiple split - Fixed head,,1.94,0
AOTG30LBTA4,FUJITSU,Non Ducted,Multiple split - Fixed head,,2.22,0
ART14RLB/AOT14RGA,FUJITSU,Non Ducted,Single Split System,,1.6,0
ART18RLBH/AOT18RZDL,FUJITSU,Non Ducted,Single Split System,,2.15,0
ART18RLCH/AOT18RNDL,FUJITSU,Non Ducted,Single Split System,,2.16,0
ART24ALA/AOT25AWAL,FUJITSU,Ducted,Single Split System,,2.7,0
ART25RLC/AOT25RNAL,FUJITSU,Ducted,Single Split System,,2.8,0
ART25RLC/AOT25RZDL,FUJITSU,Ducted,Single Split System,,3,0
ART25UUAN,FUJITSU,Ducted,Single Split System,,2.65,0
ART30ALA,FUJITSU,Ducted,Single Split System,,3.55,0
ART30LUAK,FUJITSU,Ducted,Single Split System,,3.3,0
ART30RLA,FUJITSU,Ducted,Single Split System,,3.58,0
ART30RLC,FUJITSU,Ducted,Single Split System,,3.5,0
ART30RLC/AOT30RMBL,FUJITSU,Ducted,Single Split System,,3.5,0
ART30UUAN,FUJITSU,Ducted,Single Split System,,3.15,0
ART30UUAN,FUJITSU,Ducted,Single Split System,,3.15,0
ART36ALA3H,FUJITSU,Ducted,Single Split System,,4.2,0
ART36LUAK,FUJITSU,Ducted,Single Split System,,4,0
ART36RLA3H,FUJITSU,Ducted,Single Split System,,4.5,0
ART36RLAH,FUJITSU,Ducted,Single Split System,,4.35,0
ART36RLAH/AOT36RBAL,FUJITSU,Ducted,Packaged,,4.35,0
ART36RLB3,FUJITSU,Ducted,Single Split System,,4.1,0
ART36RLC3,FUJITSU,Ducted,Single Split System,,4.3,0
ART36RLC3/AOT36RPA3L,FUJITSU,Ducted,Single Split System,,4.3,0
ART36RUAK,FUJITSU,Ducted,Single Split System,,4.3,0
ART36RUAK/AOT36RPAFT,FUJITSU,Ducted,Packaged,,4.3,0
ART36UUAK,FUJITSU,Ducted,Single Split System,,3.75,0
ART36UUAK,FUJITSU,Ducted,Single Split System,,3.75,0
ART45ALA3H,FUJITSU,Ducted,Single Split System,,4.98,0
ART45LUAK,FUJITSU,Ducted,Single Split System,,4.3,0
ART45LUAK,FUJITSU,Ducted,Single Split System,,4.3,0
ART45LUAK,FUJITSU,Ducted,Single Split System,,4.3,0
ART45LUAK,FUJITSU,Ducted,Single Split System,,4.3,0
ART45LUAK,FUJITSU,Ducted,Single Split System,,4.3,0
ART45RLA3H,FUJITSU,Ducted,Single Split System,,5.05,0
ART45RLB3,FUJITSU,Ducted,Single Split System,,5.05,0
ART45RLC3,FUJITSU,Ducted,Single Split System,,4.57,0
ART45RLC3/AOT45RPA3L,FUJITSU,Ducted,Single Split System,,4.57,0
ART45RUAK,FUJITSU,Ducted,Single Split System,,4.57,0
ART45RUAK/AOT45RPAFT,FUJITSU,Ducted,Single Split System,,4.57,0
ART45UUAK,FUJITSU,Ducted,Single Split System,,4.55,0
ART45UUAK,FUJITSU,Ducted,Single Split System,,4.55,0
ART54LUAK,FUJITSU,Ducted,Single Split System,,5.57,0
ART54LUAK,FUJITSU,Ducted,Single Split System,,5.57,0
ART54LUAK,FUJITSU,Ducted,Single Split System,,5.57,0
ART60ALA3,FUJITSU,Ducted,Single Split System,,6.01,0
ART60RLA3,FUJITSU,Ducted,Single Split System,,6.05,0
ART60RLC3/AOT60RPA3L,FUJITSU,Ducted,Single Split System,,6,0
ART60RUAK,FUJITSU,Ducted,Single Split System,,6.5,0
ART60UUAK,FUJITSU,Ducted,Single Split System,,6.2,0
