Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AS-12H53F52y02(I),GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-07C53C32y04,GALANZ,Non Ducted,Single Split System,,0.78,0
AUS-07C53C52x04,GALANZ,Non Ducted,Single Split System,,0.78,0
AUS-07H53C32y04,GALANZ,Non Ducted,Single Split System,,0.79,0
AUS-07H53C52x04,GALANZ,Non Ducted,Single Split System,,0.79,0
AUS-07H53F010Lx(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.662,0
AUS-07H53R010Lx(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.63,0
AUS-07H53R150L1(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L10(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L15(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L2(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L21(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L24(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L25(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L3(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L4(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07H53R150L5(2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.62,2
AUS-07HR53FA2,GALANZ,Non Ducted,Single Split System,,0.79,0
AUS-07HR53FA2,GALANZ,Non Ducted,Single Split System,,0.79,0
AUS-07HR53FG2,GALANZ,Non Ducted,Single Split System,,0.79,0
AUS-07HR53FG2,GALANZ,Non Ducted,Single Split System,,0.79,0
AUS-09C53F32y02,GALANZ,Non Ducted,Single Split System,,0.92,0
AUS-09C53F52z02,GALANZ,Non Ducted,Single Split System,,0.92,0
AUS-09H53C32y02,GALANZ,Non Ducted,Single Split System,,0.98,0
AUS-09H53C52x02,GALANZ,Non Ducted,Single Split System,,0.98,0
AUS-09H53F130D*(b),GALANZ,Non Ducted,Single Split System,Wall Hung,0.8,0
AUS-09H53F150Lx(e),GALANZ,Non Ducted,Single Split System,Wall Hung,0.81,0
AUS-09H53R130Dx(f),GALANZ,Non Ducted,Single Split System,Wall Hung,0.82,0
AUS-09H53R150L1(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L10(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L15(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L2(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L21(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L24(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L25(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L3(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L4(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09H53R150L5(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.735,2.25
AUS-09HR53FA2,GALANZ,Non Ducted,Single Split System,,0.92,0
AUS-09HR53FA2,GALANZ,Non Ducted,Single Split System,,0.92,0
AUS-09HR53FG2,GALANZ,Non Ducted,Single Split System,,0.92,0
AUS-09HR53FG2,GALANZ,Non Ducted,Single Split System,,0.92,0
AUS-12C53F32y02,GALANZ,Non Ducted,Single Split System,,1.32,0
AUS-12C53F52z02,GALANZ,Non Ducted,Single Split System,,1.32,0
AUS-12H53C32y02,GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-12H53C52x02,GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-12H53F130D*(a),GALANZ,Non Ducted,Single Split System,Wall Hung,1,0
AUS-12H53F130D*(f),GALANZ,Non Ducted,Single Split System,Wall Hung,1.1,0
AUS-12H53F130Lx(a3),GALANZ,Non Ducted,Single Split System,Wall Hung,1.04,0
AUS-12H53F32x02(I),GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-12H53R130D1(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D10(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D11(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D2(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D21(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D24(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D25(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D3(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D4(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130D5(b2),GALANZ,Non Ducted,Single Split System,Wall Hung,0.97,2.25
AUS-12H53R130Dx(f),GALANZ,Non Ducted,Single Split System,Wall Hung,1.18,0
AUS-12HR53FA2,GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-12HR53FA2,GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-12HR53FG2,GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-12HR53FG2,GALANZ,Non Ducted,Single Split System,,1.3,0
AUS-18C53F32y02,GALANZ,Non Ducted,Single Split System,,2.05,0
AUS-18C53F52z02,GALANZ,Non Ducted,Single Split System,,2.05,0
AUS-18H53C32y02,GALANZ,Non Ducted,Single Split System,,2.1,0
AUS-18H53C52x02,GALANZ,Non Ducted,Single Split System,,2.1,0
AUS-18H53F230Dx(a),GALANZ,Non Ducted,Single Split System,Wall Hung,1.7,0
AUS-18H53R220Dx(b),GALANZ,Non Ducted,Single Split System,Wall Hung,1.75,0
AUS-18HR53FA2,GALANZ,Non Ducted,Single Split System,,1.96,0
AUS-18HR53FA2,GALANZ,Non Ducted,Single Split System,,1.96,0
AUS-18HR53FG2,GALANZ,Non Ducted,Single Split System,,1.96,0
AUS-18HR53FG2,GALANZ,Non Ducted,Single Split System,,1.96,0
AUS-22H53C32y02,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-24C53F32y02,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-24C53F52z02,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-24H53F330Gx(a),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,0
AUS-24H53R330G1(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G10(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G11(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G19(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G2(a4)),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G21(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G31(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G41(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G5(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330G6(a4),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,1
AUS-24H53R330Gx(a),GALANZ,Non Ducted,Single Split System,Wall Hung,2.2,0
AUS-24HR53FA2,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-24HR53FA2,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-24HR53FG2,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-24HR53FG2,GALANZ,Non Ducted,Single Split System,,2.5,0
AUS-28H53F320S1,GALANZ,Non Ducted,Single Split System,,3,0
