Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AA1AH07EWI/AA0AH07EWO,GENERAL ELECTRIC,Non Ducted,Single Split System,,0.88,0
AA1AH07GWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,0.8,0
AA1AH09EWI/AA0AH09EWO,GENERAL ELECTRIC,Non Ducted,Single Split System,,0.97,0
AA1AH09GWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,0.97,0
AA1AH11EWI/AA0AH11EWO,GENERAL ELECTRIC,Non Ducted,Single Split System,,1.28,0
AA1AH12GWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,1.32,0
AA1AH18EWI/AA0AH18EWO,GENERAL ELECTRIC,Non Ducted,Single Split System,,2,0
AA1AH18GWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,1.9,0
AA1AH24EWI/AA0AH24EWO,GENERAL ELECTRIC,Non Ducted,Single Split System,,3.03,0
AA1AH24GWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,2.6,0
ASIAH18EWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,1.84,0
ASIAH24EWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,2.33,0
AYIAH09DWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,1.12,0
AYIAH12EWI,GENERAL ELECTRIC,Non Ducted,Single Split System,,1.35,0
