Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GWHD(18)NK3JO,GREE,Non Ducted,Multiple split - Fixed head,,1.53,0
GWHD(24)NK3JO,GREE,Non Ducted,Multiple split - Fixed head,,2.18,0
GWHD(28)NK3JO,GREE,Non Ducted,Multiple split - Fixed head,,2.43,0
GWHD(36)NK3JO,GREE,Non Ducted,Multiple split - Fixed head,,3,0
GWHD(42)NK3JO,GREE,Non Ducted,Multiple split - Fixed head,,3.5,0
GWHD09A6NK3OA,GREE,Non Ducted,Single Split System,Wall Hung,0.725,0
GWHD12A6NK3OA,GREE,Non Ducted,Single Split System,Wall Hung,1.03,0
GWHD18BCNK3A8A,GREE,Non Ducted,Single Split System,Wall Hung,1.56,0
GWHD24B5NK3FA,GREE,Non Ducted,Single Split System,Wall Hung,2.05,0
GWHD24C1NK3AA,GREE,Non Ducted,Single Split System,Wall Hung,2.4,0
GWHN07B8NK3BA,GREE,Non Ducted,Single Split System,Wall Hung,0.645,0
GWHN09A2NK1BAT,GREE,Non Ducted,Single Split System,,0.95,0
GWHN09A3NE3HAT,GREE,Non Ducted,Single Split System,Wall Hung,0.8,0
GWHN09B8NK3BA,GREE,Non Ducted,Single Split System,Wall Hung,0.73,0
GWHN12A6NE3HAT,GREE,Non Ducted,Single Split System,Wall Hung,1.12,0
GWHN12B9NK3DA,GREE,Non Ducted,Single Split System,Wall Hung,1.04,0
GWHN18A6NE3HAT,GREE,Non Ducted,Single Split System,Wall Hung,1.65,0
GWHN18B5NK3PA,GREE,Non Ducted,Single Split System,Wall Hung,1.83,0
GWHN24B5NK3FAT,GREE,Non Ducted,Single Split System,Wall Hung,2.18,0
GWHN24B5NK3PA,GREE,Non Ducted,Single Split System,Wall Hung,2.18,0
GWHN24FANK3A1C,GREE,Non Ducted,Single Split System,Wall Hung,2.3,1.5
GWHN42A5NM3AAT,GREE,Non Ducted,Single Split System,Cassette,5.25,0
KCR-50/C3-J,GREE,Non Ducted,Window Wall,,1.72,0
KCR25/C2-J,GREE,Non Ducted,Window Wall,,0.99,0
KFR-120TW/B,GREE,Non Ducted,Window Wall,,4.55,0
KFR-23GW/A13,GREE,Non Ducted,Single Split System,,0.82,0
KFR-25GW/J31-K,GREE,Non Ducted,Single Split System,,0.92,0
KFR-25GWA12,GREE,Non Ducted,Single Split System,,0.92,0
KFR-26GW/A13,GREE,Non Ducted,Single Split System,,0.94,0
KFR-26GW/J11-12405,GREE,Non Ducted,Single Split System,,0.96,0
KFR-35GW/J11,GREE,Non Ducted,Double/Triple Split,,1.34,0
KFR-35GW/J11-12405,GREE,Ducted,Single Split System,,1.34,0
KFR-35GW/J31-K,GREE,Non Ducted,Single Split System,,1.35,0
KFR-35GW/J31-K,GREE,Non Ducted,Single Split System,,1.35,0
KFR-35GW/NaA512-JT,GREE,Non Ducted,Single Split System,,1.09,0
KFR-35GW/NaJ31-K,GREE,Non Ducted,Single Split System,,1.08,0
KFR-45GW/E,GREE,Non Ducted,Single Split System,,2.05,0
KFR-45GW/J11-12405,GREE,Non Ducted,Single Split System,,1.73,0
KFR-45GW/J31-K,GREE,Non Ducted,Single Split System,,1.75,0
KFR-45GW/NaJ31-KT,GREE,Non Ducted,Single Split System,Wall Hung,1.56,0
KFR-60GW/A20-J,GREE,Non Ducted,Single Split System,,2.45,0
KFR-60GW/E,GREE,Non Ducted,Single Split System,,2.5,0
KFR-70GW/A1,GREE,Non Ducted,Single Split System,,2.75,0
KFR-70GWA1,GREE,Non Ducted,Single Split System,,2.75,0
KFR-70TW/B1,GREE,Non Ducted,Window Wall,,2.75,0
KFR-80GW/A11-J,GREE,Non Ducted,Single Split System,,2.8,0
KFR-80GW/A11-JT,GREE,Non Ducted,Single Split System,Wall Hung,2.8,0
KFR25GWA12-J,GREE,Non Ducted,Single Split System,,0.94,0
KFR32GW/A12-J,GREE,Non Ducted,Single Split System,,1.29,0
KFR32GWA12,GREE,Non Ducted,Single Split System,,1.2,0
KFR45GW/J21-J,GREE,Non Ducted,Single Split System,,1.8,0
KFR60GW/A10-12405,GREE,Non Ducted,Single Split System,,2.48,0
KFR60GW/A1F-J,GREE,Non Ducted,Single Split System,,2.2,0
KFR70GW/A1-J,GREE,Non Ducted,Single Split System,,2.78,0
KFR70TW/Ad1-J,GREE,Non Ducted,Single Split System,,2.754,0
