Model No,Brand,Control,Prog Name,Type,New CEC,New Star
2U18FS1ERA,Haier,Both,Multiple split - Fixed head,,1.56,0
3U19FS1ERA,Haier,Both,Multiple split - Fixed head,,1.52,0
4U25HS1ERA,Haier,Both,Multiple split - Fixed head,,2.1,0
4U30HS1ERA,Haier,Both,Multiple split - Fixed head,,2.3,0
5U34HS1ERA,Haier,Both,Multiple split - Fixed head,,2.778,0
AB362ACEAA/AU362AIEAA,Haier,Non Ducted,Single Split System,Under ceiling,3.45,1.5
AB362ACEAA/AU362AIEAA,Haier,Non Ducted,Single Split System,,3.45,1.5
AB482ACEAA/AU48NAIEAA,Haier,Non Ducted,Single Split System,,4.7,0
AB602ACEAA/AU60NAIEAA,Haier,Non Ducted,Single Split System,Under ceiling,4.95,0
AD242ALEAA/AU242AGEAA,Haier,Ducted,Single Split System,,2.55,1.25
AD242AMERA/AU242AGERA,Haier,Ducted,Single Split System,,2.45,1
AD282AHEAA/AU282AHEAA,Haier,Ducted,Single Split System,,2.98,1
AD282AMERA/AU282AHERA,Haier,Ducted,Single Split System,,2.85,1
AD282AMERA/AU282AHERA,Haier,Ducted,Single Split System,,2.85,1
AD482AHEAA/AU48NAIEAA,Haier,Ducted,Single Split System,,4.7,0
AD602AHEAA/AU60NAIEAA,Haier,Ducted,Single Split System,,5.15,0
AD722AHEAA/AU72NATEAA,Haier,Ducted,Single Split System,,7.2,1.75
AD722AHEAA/AU72NATEAA,Haier,Ducted,Single Split System,,7.2,0
AS188ASABA/AU188AFAAA,Haier,Non Ducted,Single Split System,,2.08,0
AS188ASABA/AU188AFAAA,Haier,Non Ducted,Single Split System,,2.08,0
AS188ATAAA/AU188AFAAA,Haier,Non Ducted,Single Split System,,2.08,0
AS228AJAAA/AU228AHAAA,Haier,Non Ducted,Single Split System,,2.45,0
AS228AJAAA/AU228AHAAA,Haier,Non Ducted,Single Split System,,2.45,0
AW098AAAAA,Haier,Non Ducted,Single Split System,,1.08,0
AW128AGABA,Haier,Non Ducted,Window Wall,,1.46,0
AW188AGAAA,Haier,Non Ducted,Window Wall,,2.18,0
AW188AGAAA,Haier,Non Ducted,Single Split System,,2.18,0
AX088ACMAA,Haier,Non Ducted,Portable cooler,,0.95,0
HDU-42H03/H,Haier,Ducted,Single Split System,,5,0
HSC09R21,Haier,Non Ducted,Single Split System,,0.93,0
HSM-08C04,Haier,Non Ducted,Portable cooler,,0.95,0
HSR09R21,Haier,Non Ducted,Single Split System,,1.02,0
HSR12R21,Haier,Non Ducted,Single Split System,,1.35,0
HSR22R21,Haier,Non Ducted,Single Split System,,2.45,0
HSU-09CG04,Haier,Non Ducted,Single Split System,,0.93,0
HSU-09HE04,Haier,Non Ducted,Single Split System,,1.02,0
HSU-09HEG03/R2(DB),Haier,Non Ducted,Single Split System,Wall Hung,0.67,3
HSU-09HEK03/R2(DB) / HSU-09HEG03/R2(DB),Haier,Non Ducted,Single Split System,Wall Hung,0.67,3
HSU-09HG04,Haier,Non Ducted,Single Split System,,1.02,0
HSU-09R04,Haier,Non Ducted,Single Split System,,0.93,0
HSU-09R04/R2,Haier,Non Ducted,Single Split System,,1.02,0
HSU-09RM03/R2,Haier,Non Ducted,Single Split System,Wall Hung,0.83,0
HSU-09RU03/R2(SDB),Haier,Non Ducted,Single Split System,Wall Hung,0.61,0
HSU-09RUB03/R2(SDB),Haier,Non Ducted,Single Split System,Wall Hung,0.68,0
HSU-09RUF03/R2(DB),Haier,Non Ducted,Single Split System,Wall Hung,0.68,0
HSU-12CI04,Haier,Non Ducted,Single Split System,,1.3,0
HSU-12CT04,Haier,Non Ducted,Single Split System,,1.35,0
HSU-12CU04,Haier,Non Ducted,Single Split System,,1.35,0
HSU-12H104,Haier,Non Ducted,Single Split System,,1.35,0
HSU-12HEA03/R2(DB)-A,HAIER,Non Ducted,Single Split System,Wall Hung,1.02,2.5
HSU-12HEG03/R2(DB),Haier,Non Ducted,Single Split System,Wall Hung,0.92,3
HSU-12HEK03/R2(DB) / HSU-12HEG03/R2(DB),Haier,Non Ducted,Single Split System,Wall Hung,0.92,3
HSU-12HM04,Haier,Non Ducted,Single Split System,,1.35,0
HSU-12HN04,Haier,Non Ducted,Single Split System,,1.35,0
HSU-12HV04/R2(DB),Haier,Non Ducted,Single Split System,,1.2,0
HSU-12HV04/R2(DB),Haier,Non Ducted,Single Split System,Wall Hung,1.08,0
HSU-12R04,Haier,Non Ducted,Single Split System,,1.35,0
HSU-12R04/R2,Haier,Non Ducted,Single Split System,,1.2,0
HSU-12RM03/R2,Haier,Non Ducted,Single Split System,Wall Hung,1.11,0
HSU-12RU03/R2(SDB),Haier,Non Ducted,Single Split System,Wall Hung,1.05,0
HSU-12RUB03/R2(SDB),Haier,Non Ducted,Single Split System,Wall Hung,1.05,0
HSU-18HC 04,Haier,Non Ducted,Single Split System,,2.08,0
