Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AC15WRE,HELLER,Non Ducted,Window Wall,,0.535,0
AC21WRE,HELLER,Non Ducted,Window Wall,,0.765,0
AC26WRE,HELLER,Non Ducted,Window Wall,,0.96,0
AC35WRE,HELLER,Non Ducted,Window Wall,,1.3,0
AC53WRE,HELLER,Non Ducted,Window Wall,,2.1,0
ACH13RCR,HELLER,Non Ducted,Single Split System,,1.3,0
ACH19RCR,HELLER,Non Ducted,Single Split System,,1.96,0
ACH25RCR,HELLER,Non Ducted,Single Split System,,2.5,0
ACH7RCR,HELLER,Non Ducted,Single Split System,,0.79,0
ACH9RCR,HELLER,Non Ducted,Single Split System,,0.92,0
ACK22RC,HELLER,Non Ducted,Single Split System,,2.4,0
ACK25RC,HELLER,Non Ducted,Single Split System,,0.88,0
ACK35RC,HELLER,Non Ducted,Single Split System,,1.27,0
ACK70RC,HELLER,Non Ducted,Single Split System,,2.75,0
ACM 35 RCI,HELLER,Non Ducted,Single Split System,Wall Hung,1.3,0
ACM53RC,HELLER,Non Ducted,Single Split System,,1.9,0
ACM64RCI,HELLER,Non Ducted,Single Split System,Floor/Ceiling,2.45,0
WAC25RC,HELLER,Non Ducted,Window Wall,,0.84,2
WAC25RC,HELLER,Non Ducted,Window Wall,Wall Hung,0.84,2
