Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LD-10LM5 / RAS-10HQE5,HITACHI,Ducted,Single Split System,,10.891,0
LD-2.5G5R,HITACHI,Ducted,Single Split System,,2.5,0
LD-2.5G6R,HITACHI,Ducted,Single Split System,,2.5,0
LD-2G5R,HITACHI,Ducted,Single Split System,,2.11,0
LD-2G6R,HITACHI,Ducted,Single Split System,,2.11,0
LD-3.5G5R,HITACHI,Ducted,Single Split System,,3.4,0
LD-3.5G5R,HITACHI,Ducted,Single Split System,,3.4,0
LD-3.5G6R,HITACHI,Ducted,Single Split System,,3.4,0
LD-3.5G6R,HITACHI,Ducted,Single Split System,,3.4,0
LD-3.5G6R 407C,HITACHI,Ducted,Single Split System,,3.5,0
LD-3.5LM5 / RAS-3.5HQE5,HITACHI,Ducted,Single Split System,,3.925,0
LD-3G5R,HITACHI,Ducted,Single Split System,,2.96,0
LD-3G5R,HITACHI,Ducted,Single Split System,,2.96,0
LD-3G6R,HITACHI,Ducted,Single Split System,,2.96,0
LD-3G6R,HITACHI,Ducted,Single Split System,,2.96,0
LD-3G6R 407C,HITACHI,Ducted,Single Split System,,3.08,0
LD-3LM5 / RAS-3HQE5,HITACHI,Ducted,Single Split System,,3.242,0
LD-4G5R,HITACHI,Ducted,Single Split System,,4.25,0
LD-4G5R,HITACHI,Ducted,Single Split System,,4.15,0
LD-4G5R 407C,HITACHI,Ducted,Single Split System,,4.52,0
LD-4G6R,HITACHI,Ducted,Single Split System,,4.25,0
LD-4G6R,HITACHI,Ducted,Single Split System,,4.15,0
LD-4LM5 / RAS-4HQE5,HITACHI,Ducted,Single Split System,,4.478,0
LD-5G5R,HITACHI,Ducted,Single Split System,,5.25,0
LD-5G5R 407C,HITACHI,Ducted,Single Split System,,5.53,0
LD-5G6R,HITACHI,Ducted,Single Split System,,5.25,0
LD-5LM5 / RAS-5HQE5,HITACHI,Ducted,Single Split System,,5.194,0
LD-6G5R,HITACHI,Ducted,Single Split System,,5.58,0
LD-6G5R 407C,HITACHI,Ducted,Single Split System,,5.62,0
LD-6G6R,HITACHI,Ducted,Single Split System,,5.58,0
LD-6G6R 407C,HITACHI,Ducted,Single Split System,,5.77,0
LD-6LM5 / RAS-6HQE5,HITACHI,Ducted,Single Split System,,5.719,0
LD-8G5R 407C,HITACHI,Ducted,Single Split System,,8.31,0
LD-8LM5 / RAS-8HQE5,HITACHI,Ducted,Single Split System,,9.02,0
RA-10JFA,HITACHI,Non Ducted,Window Wall,,0.97,0
RAF/C-35NXA1,HITACHI,Non Ducted,Single Split System,Floor Mounted,0.94,2.75
RAF/C-50NXA1,HITACHI,Non Ducted,Single Split System,Floor Mounted,1.51,2.5
RAK-35NHA/RAC-35NHA,HITACHI,Non Ducted,Single Split System,,1.08,0
RAK-50NHA/RAC-50NHA,HITACHI,Non Ducted,Single Split System,,1.78,0
RAM-110QHA2,HITACHI,Non Ducted,Multiple split - Fixed head,,3,0
RAM-55QHA2,HITACHI,Non Ducted,Multiple split - Fixed head,,1.5,0
RAM-68QHA2,HITACHI,Non Ducted,Multiple split - Fixed head,,2.04,0
RAM-72QHA2,HITACHI,Non Ducted,Multiple split - Fixed head,,2.08,0
RAM-90QHA2,HITACHI,Non Ducted,Multiple split - Fixed head,,2.56,0
RAS-09CA1/RAC-09CA1,HITACHI,Non Ducted,Single Split System,,0.93,0
RAS-09CHA1R/RAC-09CHA1,HITACHI,Non Ducted,Single Split System,,0.98,0
RAS-10FSXN1,HITACHI,Non Ducted,Multiple split - VRF,,8.02,0
RAS-10U2S,HITACHI,Ducted,Single Split System,,9.63,0
RAS-12FSXN1,HITACHI,Non Ducted,Multiple split - VRF,,10.46,0
RAS-14FSXN1,HITACHI,Non Ducted,Multiple split - VRF,,12.11,0
RAS-16FSXN1,HITACHI,Non Ducted,Multiple split - VRF,,13.87,0
RAS-2.5HVNP,HITACHI,Non Ducted,Multiple split - VRF,,1.39,0
RAS-25CHAR/RAC-25CHA,HITACHI,Non Ducted,Single Split System,,2.28,0
RAS-25CNHAR/RAC-25CNHA,HITACHI,Non Ducted,Single Split System,,0.94,0
