Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HPS 125R,HOTPOINT,Non Ducted,Single Split System,,1.1,0
HPS 150R,HOTPOINT,Non Ducted,Single Split System,,1.32,0
HPS-250R,HOTPOINT,Non Ducted,Single Split System,,2.6,0
HPW 70 B,HOTPOINT,Non Ducted,Window Wall,,1.77,0
MSB-21HR,HOTPOINT,Non Ducted,Single Split System,,2.4,0
MSB09HRb,HOTPOINT,Non Ducted,Single Split System,Wall Hung,0.77,0
MSB12HRb,HOTPOINT,Non Ducted,Single Split System,Wall Hung,1.05,0
MSB18HRb,HOTPOINT,Non Ducted,Single Split System,Wall Hung,1.7,0
MSB21HRb,HOTPOINT,Non Ducted,Single Split System,Wall Hung,2.1,0
MSG-22HRI,HOTPOINT,Non Ducted,Single Split System,,2.45,0
MWH-12HRb,HOTPOINT,Non Ducted,Window Wall,,1.15,0
MWH18HRb,HOTPOINT,Non Ducted,Window Wall,,1.7,0
