Model No,Brand,Control,Prog Name,Type,New CEC,New Star
Dx/a,HUALING,Non Ducted,Single Split System,,2.6,0
GW,HUALING,Non Ducted,Single Split System,,3.1,0
J.N.V.,HUALING,Non Ducted,Single Split System,,0.9,0
J.N.V.,HUALING,Non Ducted,Single Split System,,1.7,0
J.N.V.,HUALING,Non Ducted,Single Split System,,1.25,0
KF25GW/JNV,HUALING,Non Ducted,Single Split System,,0.9,0
KF35GW/JNV,HUALING,Non Ducted,Single Split System,,1.4,0
KF45GW/JNV,HUALING,Non Ducted,Single Split System,,1.8,0
KF60GW/DX,HUALING,Non Ducted,Single Split System,,2.6,0
KF73GW/a,HUALING,Non Ducted,Single Split System,,3.1,0
KFR,HUALING,Non Ducted,Packaged,,3.1,0
