Model No,Brand,Control,Prog Name,Type,New CEC,New Star
HCH-1803BA,HYUNDAI,Non Ducted,Packaged,,1.85,0
HCH-2403BA,HYUNDAI,Non Ducted,Packaged,,2.4,0
HDH-3603BA,HYUNDAI,Ducted,Unknown,,3.9,0
HFH-4401BA,HYUNDAI,Non Ducted,Portable cooler,,5.2,0
HSH-073BE,HYUNDAI,Non Ducted,Single Split System,,0.65,0
HSH-073BE,HYUNDAI,Non Ducted,Single Split System,,0.71,0
HSH-0901BA,HYUNDAI,Non Ducted,Single Split System,,0.89,0
HSH-1201BA,HYUNDAI,Non Ducted,Single Split System,,1.24,0
HSH-1802BA,HYUNDAI,Non Ducted,Single Split System,,1.9,0
HSH-1802BA,HYUNDAI,Non Ducted,Single Split System,,1.93,0
HSH-2402BA,HYUNDAI,Non Ducted,Single Split System,,2.39,0
HSH-3001BA,HYUNDAI,Non Ducted,Single Split System,,2.76,0
HVH-1403BA,HYUNDAI,Non Ducted,Single Split System,,1.5,0
HVH-1403BA,HYUNDAI,Non Ducted,Single Split System,,1.6,0
KFR-25GW/XBPc,HYUNDAI,Non Ducted,Single Split System,,1,0
KFR-30GW/XBPc,HYUNDAI,Non Ducted,Single Split System,,1.18,0
KFR-35GW/Xc,HYUNDAI,Non Ducted,Single Split System,,1.44,0
KFR-35GW/XDc,HYUNDAI,Non Ducted,Single Split System,,1.44,0
KFR-51GW/XBPc,HYUNDAI,Non Ducted,Single Split System,,2.2,0
KFR-51GW/Xc,HYUNDAI,Non Ducted,Single Split System,,2.02,0
KFR-70GW/Xc,HYUNDAI,Non Ducted,Single Split System,,2.74,0
WSA-098BA,HYUNDAI,Non Ducted,Single Split System,,0.86,0
WSA-098BA,HYUNDAI,Non Ducted,Single Split System,,0.86,0
WSA-128BA,HYUNDAI,Non Ducted,Single Split System,,1.22,0
WSA-128BA,HYUNDAI,Non Ducted,Single Split System,,1.22,0
WSA-188BA,HYUNDAI,Non Ducted,Single Split System,,1.9,0
WSA-229BA,HYUNDAI,Non Ducted,Single Split System,,2.55,0
WSH-098BA,HYUNDAI,Non Ducted,Single Split System,,0.87,0
WSH-098BA,HYUNDAI,Non Ducted,Single Split System,,0.87,0
WSH-120BA,HYUNDAI,Non Ducted,Single Split System,,1.23,0
WSH-128BA,HYUNDAI,Non Ducted,Single Split System,,1.23,0
WSH-128BA,HYUNDAI,Non Ducted,Single Split System,,1.23,0
WSH-188BA,HYUNDAI,Non Ducted,Single Split System,,1.9,0
WSH-229BA,HYUNDAI,Non Ducted,Single Split System,,2.57,0
WSH-302BA,HYUNDAI,Non Ducted,Single Split System,,2.95,0
