Model No,Brand,Control,Prog Name,Type,New CEC,New Star
MCS32-1ARFN,IDI,Non Ducted,Single Split System,,3.42,0
MCS32-1ARFN,IDI,Non Ducted,Single Split System,,3.42,0
MCS42-1ARFN,IDI,Non Ducted,Single Split System,,4.5,0
MCS42-1ARFN,IDI,Non Ducted,Single Split System,,4.5,0
MSW09-6CREN,IDI,Non Ducted,Single Split System,,0.95,0
MSW09-6CREN,IDI,Non Ducted,Single Split System,,0.95,0
MSW09-6CREN,IDI,Non Ducted,Single Split System,,0.95,0
MSW09-6CREN-EQ,IDI,Non Ducted,Single Split System,,0.95,0
MSW12-6AREN,IDI,Non Ducted,Single Split System,,1.28,0
MSW12-6AREN,IDI,Non Ducted,Single Split System,,1.28,0
MSW12-6AREN,IDI,Non Ducted,Single Split System,,1.28,0
MSW12-6AREN-EQ,IDI,Non Ducted,Single Split System,,1.28,0
MSW18-6AREN,IDI,Non Ducted,Single Split System,,2.05,0
MSW18-6AREN,IDI,Non Ducted,Single Split System,,2.05,0
MSW18-6AREN,IDI,Non Ducted,Single Split System,,2.05,0
MSW18-6AREN-EQ,IDI,Non Ducted,Single Split System,,2.05,0
MSW24-9AREN,IDI,Non Ducted,Single Split System,,2.56,0
MSW24-9AREN,IDI,Non Ducted,Single Split System,,2.56,0
