Model No,Brand,Control,Prog Name,Type,New CEC,New Star
AUS-09HR53FG2,JBS,Non Ducted,Single Split System,,0.92,0
AUS-12HR53FG2,JBS,Non Ducted,Single Split System,,1.3,0
AUS-24HR53FG2,JBS,Non Ducted,Single Split System,,2.5,0
KFR-23GW/T,JBS,Non Ducted,Single Split System,,0.92,0
KFR-25GW/BPc,JBS,Non Ducted,Single Split System,,0.95,0
KFR-25GW/Ec,JBS,Non Ducted,Single Split System,,0.94,0
KFR-25GW/T,JBS,Non Ducted,Single Split System,,1.2,0
KFR-30GW/BPc,JBS,Non Ducted,Single Split System,,1.15,0
KFR-33GW/T,JBS,Non Ducted,Single Split System,,1.25,0
KFR-35GW/Ac,JBS,Non Ducted,Single Split System,,1.32,0
KFR-35GW/T1,JBS,Non Ducted,Single Split System,,1.3,0
KFR-35GW/T2,JBS,Non Ducted,Single Split System,,1.3,0
KFR-50GW/B,JBS,Non Ducted,Single Split System,,1.88,0
KFR-51GW/BPc,JBS,Non Ducted,Single Split System,,2.09,0
KFR-51GW/c,JBS,Non Ducted,Single Split System,,2.05,0
KFR-60GW/A,JBS,Non Ducted,Single Split System,,2.38,0
KFR-60GW/T,JBS,Non Ducted,Single Split System,,2.38,0
KFR-61GW/c,JBS,Non Ducted,Single Split System,,2.32,0
KFR-70GW/B,JBS,Non Ducted,Single Split System,,2.7,0
KFR-70GW/c,JBS,Non Ducted,Single Split System,,2.9,0
KFR-70GW/T,JBS,Non Ducted,Single Split System,,2.7,0
KFR-82GW/c,JBS,Non Ducted,Single Split System,,3.28,0
